MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 9.04,-999.00,-999.00,11.18,-999.00,-999.00,-999.00,11.37, 9.93, 9.93,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 9.95, 7.70,11.63,-999.00, 9.98, 7.69,11.70,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 9.50,10.23, 8.55,-999.00,-999.00,10.27, 8.55,-999.00, 9.73, 9.80,-999.00,-999.00
CESM2, 9.30,10.21,-999.00,11.69,10.21,10.22,-999.00,11.74, 9.45, 9.30,-999.00,-999.00
CNRM-CM5, 9.29, 9.97,11.93,-999.00,-999.00,10.00,11.92,-999.00, 9.21, 8.90,-999.00,-999.00
CNRM-CM6-1, 9.37,-999.00,-999.00,11.78,-999.00,-999.00,-999.00,11.81, 9.34, 9.08,-999.00,-999.00
COSMOS-ASO, 8.80,-999.00, 8.07,-999.00,-999.00,-999.00, 8.07,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 9.14, 9.96,-999.00,-999.00,-999.00,10.00,-999.00,-999.00, 9.12, 9.30,-999.00,-999.00
CSIRO-Mk3L-1-2, 8.83, 9.59,-999.00,-999.00,-999.00, 9.62,-999.00,-999.00, 8.51,-999.00,-999.00,-999.00
EC-EARTH-2-2, 8.87, 9.39,-999.00,-999.00,-999.00, 9.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,10.18,11.00,-999.00,-999.00,-999.00,11.03,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 9.41,10.09,-999.00,11.65,-999.00,10.17,-999.00,11.72, 9.46, 9.37,-999.00,-999.00
FGOALS-g2, 9.02, 9.84, 7.79,-999.00,-999.00, 9.87, 7.78,-999.00, 9.13, 8.47,-999.00,-999.00
FGOALS-g3, 8.86,10.17,-999.00,11.35,-999.00,10.19,-999.00,11.42,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 9.88,10.61,-999.00,-999.00,-999.00,10.63,-999.00,-999.00, 9.95, 9.62,-999.00,-999.00
GISS-E2-1-G, 9.00, 9.67,-999.00,11.22, 8.38, 9.71,-999.00,11.28, 9.40, 9.38,-999.00,-999.00
GISS-E2-R, 8.06, 8.70, 7.01,-999.00,-999.00, 8.71, 7.00,-999.00, 8.72, 8.72,-999.00,-999.00
HadCM3, 8.97,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,10.14,10.73,-999.00,-999.00,-999.00,10.76,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,10.16,10.95,-999.00,-999.00,-999.00,10.98,-999.00,-999.00,11.00,10.97,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,10.74,-999.00,12.31,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 9.39,10.10, 9.08,11.65,-999.00,10.12, 9.08,11.70, 9.52, 9.36,-999.00,-999.00
IPSL-CM5A-LR, 8.24, 8.96, 6.43,-999.00,-999.00, 8.99, 6.43,-999.00, 8.76, 8.35,-999.00,-999.00
IPSL-CM6A-LR, 9.21, 9.97,-999.00,11.48, 9.92,10.00,-999.00,11.51, 9.97,10.23,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 9.00, 9.49, 9.20,10.80,-999.00, 9.51, 9.20,10.86, 9.20, 9.14,-999.00,-999.00
MIROC-ESM, 8.72, 9.38, 8.44,-999.00,-999.00, 9.41, 8.43,-999.00, 8.52, 8.71,-999.00,-999.00
MPI-ESM1-2-LR, 9.05, 9.82, 7.70, 1.52,-999.00, 9.84,-999.00, 1.52, 9.86, 9.93,-999.00,-999.00
MPI-ESM-P, 8.43, 9.01, 6.55,-999.00,-999.00, 9.02, 6.55,-999.00, 8.71, 8.49,-999.00,-999.00
MRI-CGCM3, 7.88, 8.63, 9.23,-999.00,-999.00, 8.67, 9.22,-999.00, 8.16, 8.09,-999.00,-999.00
MRI-ESM2-0, 8.22, 8.97,-999.00,-999.00,-999.00, 9.00,-999.00,-999.00, 8.28, 8.05,-999.00,-999.00
NESM3, 9.65,10.23,-999.00,11.97,-999.00,10.26,-999.00,12.01,10.27,10.13,-999.00,-999.00
NorESM1-F, 9.65,10.36,-999.00,11.81, 9.93,10.38,-999.00,11.86,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 8.99, 9.89,-999.00,11.26,-999.00, 9.91,-999.00,11.32, 9.57, 9.39,-999.00,-999.00
UofT-CCSM-4, 9.53,10.45, 9.11,-999.00,-999.00,10.48, 9.10,-999.00,-999.00,-999.00,-999.00,-999.00
