MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 5.01,-999.00,-999.00, 4.60,-999.00,-999.00,-999.00, 4.47, 4.92, 4.95,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.24, 3.19, 3.37,-999.00, 3.07, 3.04, 3.21,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.93, 3.83, 3.98,-999.00,-999.00, 3.66, 3.88,-999.00, 4.25, 4.36,-999.00,-999.00
CESM2, 4.17, 4.03,-999.00, 3.90,-999.00, 3.80,-999.00, 3.67, 3.91, 3.94,-999.00,-999.00
CNRM-CM5, 4.24, 4.17, 4.32,-999.00,-999.00, 4.03, 4.21,-999.00, 4.54, 4.71,-999.00,-999.00
CNRM-CM6-1, 4.96,-999.00,-999.00, 4.59,-999.00,-999.00,-999.00,-999.00, 5.24, 5.43,-999.00,-999.00
COSMOS-ASO, 2.65,-999.00, 2.62,-999.00,-999.00,-999.00, 2.58,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.97, 3.01,-999.00,-999.00,-999.00, 2.80,-999.00,-999.00, 2.88, 2.72,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.77, 2.81,-999.00,-999.00,-999.00, 2.56,-999.00,-999.00, 3.16,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.16, 2.98,-999.00,-999.00,-999.00, 2.88,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.29, 4.03,-999.00,-999.00,-999.00, 3.89,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.01, 3.91,-999.00, 3.69,-999.00, 3.77,-999.00, 3.55, 3.92, 3.92,-999.00,-999.00
FGOALS-g2, 4.25, 4.09, 6.86,-999.00,-999.00, 3.99, 6.83,-999.00, 4.14, 4.34,-999.00,-999.00
FGOALS-g3, 5.19, 5.25,-999.00, 5.25,-999.00, 5.15,-999.00, 5.12,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 3.54, 3.37,-999.00,-999.00,-999.00, 3.14,-999.00,-999.00, 4.12, 4.55,-999.00,-999.00
GISS-E2-1-G, 4.35, 4.20,-999.00, 4.10,-999.00, 4.12,-999.00, 4.02, 4.30, 4.81,-999.00,-999.00
GISS-E2-R, 3.69, 3.84, 3.76,-999.00,-999.00, 3.78, 3.70,-999.00, 3.66, 3.95,-999.00,-999.00
HadCM3, 3.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 4.44, 4.33,-999.00,-999.00,-999.00, 4.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 4.25, 4.18,-999.00,-999.00,-999.00, 4.03,-999.00,-999.00, 4.28, 4.25,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 4.30,-999.00, 4.26,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.11, 3.98, 3.67, 3.94,-999.00, 3.86, 3.61, 3.84, 4.19, 4.21,-999.00,-999.00
IPSL-CM5A-LR, 4.04, 3.88, 3.68,-999.00,-999.00, 3.68, 3.57,-999.00, 4.16, 4.39,-999.00,-999.00
IPSL-CM6A-LR, 4.43, 4.40,-999.00, 4.50,-999.00, 4.28,-999.00, 4.36, 5.15, 6.09,-999.00,-999.00
KCM1-2-2, 3.32, 3.30,-999.00,-999.00,-999.00, 3.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.33, 4.43, 4.27,-999.00,-999.00, 4.29, 4.20, 4.54, 4.61, 4.71,-999.00,-999.00
MIROC-ESM, 3.73, 3.69, 4.03,-999.00,-999.00, 3.52, 3.89,-999.00, 3.86, 4.08,-999.00,-999.00
MPI-ESM1-2-LR, 3.02, 2.96, 3.26,-999.00,-999.00, 2.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.30, 3.29, 3.34,-999.00,-999.00, 3.12, 3.23,-999.00, 3.10, 3.25,-999.00,-999.00
MRI-CGCM3, 5.20, 4.90, 5.01,-999.00,-999.00, 4.70, 4.86,-999.00, 5.46, 5.50,-999.00,-999.00
MRI-ESM2-0, 4.96, 4.84,-999.00,-999.00,-999.00, 4.62,-999.00,-999.00, 5.15, 5.43,-999.00,-999.00
NESM3, 3.65, 3.36,-999.00, 3.43,-999.00, 3.17,-999.00, 3.24, 3.77, 3.86,-999.00,-999.00
NorESM1-F, 4.19, 3.99,-999.00, 3.98,-999.00, 3.70,-999.00, 3.67,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.59, 3.58,-999.00,-999.00,-999.00, 3.34,-999.00,-999.00, 3.24, 3.59,-999.00,-999.00
UofT-CCSM-4, 4.04, 4.00, 4.46,-999.00,-999.00, 3.81, 4.34,-999.00,-999.00,-999.00,-999.00,-999.00
