MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.81,-999.00,-999.00, 1.46,-999.00,-999.00,-999.00, 1.45, 1.88, 1.87,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.09, 1.13, 1.00,-999.00, 1.03, 1.08, 0.95,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.57, 1.35, 1.42,-999.00,-999.00, 1.30, 1.39,-999.00, 2.01, 2.06,-999.00,-999.00
CESM2, 1.70, 1.59,-999.00, 1.64,-999.00, 1.52,-999.00, 1.57, 1.69, 1.58,-999.00,-999.00
CNRM-CM5, 1.18, 1.09, 0.98,-999.00,-999.00, 1.05, 0.94,-999.00, 1.53, 1.61,-999.00,-999.00
CNRM-CM6-1, 1.13,-999.00,-999.00, 0.98,-999.00,-999.00,-999.00,-999.00, 1.63, 1.65,-999.00,-999.00
COSMOS-ASO, 0.79,-999.00, 0.77,-999.00,-999.00,-999.00, 0.76,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.28, 1.10,-999.00,-999.00,-999.00, 1.00,-999.00,-999.00, 1.37, 1.34,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.69, 1.68,-999.00,-999.00,-999.00, 1.52,-999.00,-999.00, 1.79,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.98, 0.75,-999.00,-999.00,-999.00, 0.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.46, 1.18,-999.00,-999.00,-999.00, 1.15,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.94, 0.86,-999.00, 0.95,-999.00, 0.86,-999.00, 0.93, 1.25, 1.18,-999.00,-999.00
FGOALS-g2, 1.06, 0.99, 1.25,-999.00,-999.00, 0.98, 1.25,-999.00, 1.23, 1.09,-999.00,-999.00
FGOALS-g3, 1.52, 1.35,-999.00, 1.30,-999.00, 1.35,-999.00, 1.32,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.65, 1.55,-999.00,-999.00,-999.00, 1.50,-999.00,-999.00, 1.97, 2.09,-999.00,-999.00
GISS-E2-1-G, 0.77, 0.70,-999.00, 0.76,-999.00, 0.69,-999.00, 0.75, 0.80, 0.78,-999.00,-999.00
GISS-E2-R, 0.57, 0.55, 0.55,-999.00,-999.00, 0.54, 0.54,-999.00, 0.63, 0.64,-999.00,-999.00
HadCM3, 0.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.35, 1.23,-999.00,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.29, 1.16,-999.00,-999.00,-999.00, 1.13,-999.00,-999.00, 1.34, 1.22,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.18,-999.00, 1.17,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.52, 1.25, 0.85, 1.12,-999.00, 1.22, 0.85, 1.10, 1.59, 1.50,-999.00,-999.00
IPSL-CM5A-LR, 1.43, 1.27, 0.82,-999.00,-999.00, 1.21, 0.79,-999.00, 1.90, 1.86,-999.00,-999.00
IPSL-CM6A-LR, 1.29, 1.22,-999.00, 1.12,-999.00, 1.20,-999.00, 1.10, 1.56, 2.11,-999.00,-999.00
KCM1-2-2, 0.45, 0.41,-999.00,-999.00,-999.00, 0.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.40, 1.39, 1.37,-999.00,-999.00, 1.37, 1.36, 1.37, 1.59, 1.69,-999.00,-999.00
MIROC-ESM, 1.43, 1.32, 1.37,-999.00,-999.00, 1.28, 1.34,-999.00, 1.43, 1.43,-999.00,-999.00
MPI-ESM1-2-LR, 0.84, 0.83, 0.89,-999.00,-999.00, 0.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.88, 0.86, 0.84,-999.00,-999.00, 0.82, 0.82,-999.00, 0.96, 1.03,-999.00,-999.00
MRI-CGCM3, 1.45, 1.21, 1.07,-999.00,-999.00, 1.17, 1.04,-999.00, 1.87, 1.98,-999.00,-999.00
MRI-ESM2-0, 1.55, 1.41,-999.00,-999.00,-999.00, 1.35,-999.00,-999.00, 1.78, 1.98,-999.00,-999.00
NESM3, 1.44, 1.13,-999.00, 1.25,-999.00, 1.06,-999.00, 1.19, 1.82, 1.85,-999.00,-999.00
NorESM1-F, 2.12, 1.94,-999.00, 1.80,-999.00, 1.84,-999.00, 1.73,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.60, 1.38,-999.00,-999.00,-999.00, 1.29,-999.00,-999.00, 1.48, 1.60,-999.00,-999.00
UofT-CCSM-4, 1.68, 1.52, 1.65,-999.00,-999.00, 1.45, 1.61,-999.00,-999.00,-999.00,-999.00,-999.00
