MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,13.49,-999.00,-999.00,13.66,-999.00,-999.00,-999.00,13.44,17.80,18.87,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 9.92, 7.56,10.30,-999.00, 9.87, 7.57,10.22,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,11.21,10.92, 6.94,-999.00,-999.00,10.86, 6.95,-999.00,15.47,16.13,-999.00,-999.00
CESM2,12.23,11.94,-999.00,12.21,16.89,11.88,-999.00,12.12,17.83,20.12,-999.00,-999.00
CNRM-CM5, 8.97, 9.03, 5.51,-999.00,-999.00, 8.93, 5.53,-999.00,13.48,14.82,-999.00,-999.00
CNRM-CM6-1, 8.87,-999.00,-999.00, 9.58,-999.00,-999.00,-999.00, 9.47,14.87,16.38,-999.00,-999.00
COSMOS-ASO,12.98,-999.00, 7.73,-999.00,-999.00,-999.00, 7.74,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,11.80,11.61,-999.00,-999.00,-999.00,11.56,-999.00,-999.00,16.22,18.48,-999.00,-999.00
CSIRO-Mk3L-1-2,15.03,14.86,-999.00,-999.00,-999.00,14.82,-999.00,-999.00,18.79,-999.00,-999.00,-999.00
EC-EARTH-2-2, 8.05, 7.83,-999.00,-999.00,-999.00, 7.77,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,11.03,10.81,-999.00,-999.00,-999.00,10.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,11.03,10.65,-999.00,10.91,-999.00,10.60,-999.00,10.81,16.24,16.37,-999.00,-999.00
FGOALS-g2,12.65,11.90, 4.40,-999.00,-999.00,11.85, 4.41,-999.00,16.04,17.81,-999.00,-999.00
FGOALS-g3,11.73,11.50,-999.00,12.10,-999.00,11.44,-999.00,12.00,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,14.95,14.71,-999.00,-999.00,-999.00,14.65,-999.00,-999.00,19.02,20.70,-999.00,-999.00
GISS-E2-1-G,11.74,11.30,-999.00,11.71,13.72,11.23,-999.00,11.60,12.52,16.95,-999.00,-999.00
GISS-E2-R,12.19,11.92, 8.59,-999.00,-999.00,11.85, 8.60,-999.00,15.97,16.44,-999.00,-999.00
HadCM3,10.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,11.98,11.99,-999.00,-999.00,-999.00,11.92,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,12.36,12.43,-999.00,-999.00,-999.00,12.37,-999.00,-999.00,17.13,18.64,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,12.32,-999.00,12.94,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,12.74,12.34, 9.10,12.54,-999.00,12.27, 9.11,12.41,15.67,16.02,-999.00,-999.00
IPSL-CM5A-LR, 8.29, 8.01, 3.76,-999.00,-999.00, 7.95, 3.77,-999.00,12.94,15.10,-999.00,-999.00
IPSL-CM6A-LR, 9.44, 8.97,-999.00, 9.31,12.80, 8.91,-999.00, 9.22,15.20,19.19,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,16.03,15.43,12.97,15.55,-999.00,15.38,12.98,15.46,19.43,20.00,-999.00,-999.00
MIROC-ESM,13.92,13.51,10.74,-999.00,-999.00,13.44,10.74,-999.00,18.29,20.31,-999.00,-999.00
MPI-ESM1-2-LR,11.15,10.68, 7.57,19.49,-999.00,10.63,-999.00,19.75,16.54,16.78,-999.00,-999.00
MPI-ESM-P,10.74,10.39, 6.75,-999.00,-999.00,10.34, 6.75,-999.00,15.94,17.77,-999.00,-999.00
MRI-CGCM3,12.65,12.41, 7.57,-999.00,-999.00,12.35, 7.58,-999.00,16.16,17.14,-999.00,-999.00
MRI-ESM2-0,12.15,11.79,-999.00,-999.00,-999.00,11.73,-999.00,-999.00,16.26,17.49,-999.00,-999.00
NESM3,11.97,11.76,-999.00,12.41,-999.00,11.68,-999.00,12.28,18.40,19.39,-999.00,-999.00
NorESM1-F,15.31,14.97,-999.00,15.19,16.62,14.92,-999.00,15.09,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,15.13,14.82,-999.00,15.02,-999.00,14.76,-999.00,14.92,18.43,21.80,-999.00,-999.00
UofT-CCSM-4,10.65,10.37, 4.63,-999.00,-999.00,10.31, 4.64,-999.00,-999.00,-999.00,-999.00,-999.00
