Simulated Temperature Changes,Fraction of global area,AWI-ESM-1-1-LR,CESM2,EC-Earth3-LR,FGOALS-f3-L,FGOALS-g3,GISS-E2-1-G,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM6A-LR,MIROC-ES2L,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM1-F,NorESM2-LM,UofT-CCSM-4 ,BCC-CSM1-1,CCSM4,CNRM-CM5,CSIRO-Mk3-6-0,CSIRO-Mk3L-1-2,EC-EARTH-2-2,FGOALS-g2,FGOALS-s2,GISS-E2-R,HadGEM2-CC,HadGEM2-ES,IPSL-CM5A-LR,MIROC-ESM,MPI-ESM-P,MRI-CGCM3,,PMIP4&PMIP3 Mean,PMIP4&PMIP3 Max,PMIP4&PMIP3 Min,PMIP4&PMIP3 STDDEV,,CMIP6/PMIP4 Mean,CMIP6/PMIP4 STDDEV,,CMIP5/PMIP3 MEAN,CMIP5/PMIP3 STDDEV
GLOBAL,1.000,-0.440,-0.210,-0.050,-0.370,-0.230,-0.380,-0.130,-0.300,-0.360,-0.470,-0.360,-0.180,-0.270,-0.360,-0.220,-0.170,-0.140,-0.260,0.180,0.020,-0.010,-0.110,-0.730,-0.160,-0.100,0.220,0.240,-0.090,-0.250,-0.240,-0.020,,-0.192,0.240,-0.730,0.205,,-0.273,0.119,,-0.094,0.247
GLOBAL (over land),1.000,-0.630,-0.220,-0.080,-0.460,-0.040,-0.450,-0.200,-0.390,-0.440,-0.600,-0.510,-0.260,-0.400,-0.500,-0.190,-0.240,-0.170,-0.410,0.210,0.000,0.010,-0.140,-0.850,-0.260,-0.180,0.250,0.340,-0.060,-0.420,-0.320,-0.060,,-0.247,0.340,-0.850,0.264,,-0.340,0.178,,-0.135,0.312
GLOBAL (over ocean),1.000,-0.360,-0.200,-0.040,-0.330,-0.300,-0.350,-0.100,-0.260,-0.330,-0.420,-0.300,-0.140,-0.210,-0.300,-0.230,-0.130,-0.120,-0.200,0.170,0.020,-0.010,-0.090,-0.680,-0.120,-0.070,0.200,0.200,-0.100,-0.180,-0.210,-0.010,,-0.168,0.200,-0.680,0.186,,-0.242,0.108,,-0.077,0.222
60-90oN,0.067,-0.620,0.140,1.300,-0.040,0.220,0.430,0.790,-0.040,-0.250,-0.150,-0.130,0.180,0.170,-0.330,0.030,0.610,0.860,-0.070,1.360,0.400,0.580,0.800,-0.640,0.410,0.730,1.670,1.270,0.340,-0.280,0.170,0.780,,0.345,1.670,-0.640,0.577,,0.186,0.484,,0.537,0.638
60-90oN (over land),0.118,-0.560,-0.020,0.840,-0.190,0.240,0.280,0.350,-0.230,-0.380,-0.260,-0.220,0.070,-0.030,-0.470,-0.060,0.360,0.590,-0.250,0.920,0.260,0.450,0.660,-0.690,0.230,0.340,1.170,0.890,0.230,-0.220,0.020,0.500,,0.155,1.170,-0.690,0.460,,0.018,0.382,,0.322,0.505
60-90oN (over ocean),0.045,-0.680,0.300,1.790,0.130,0.200,0.580,1.280,0.160,-0.110,-0.040,-0.020,0.300,0.410,-0.180,0.110,0.880,1.150,0.120,1.830,0.560,0.720,0.960,-0.570,0.620,1.150,2.240,1.700,0.460,-0.350,0.330,1.070,,0.552,2.240,-0.680,0.717,,0.368,0.608,,0.774,0.797
30-60oN,0.183,-0.470,-0.090,0.260,-0.380,-0.020,-0.270,0.080,-0.360,-0.310,-0.450,-0.350,0.030,-0.440,-0.430,-0.090,-0.180,-0.010,-0.360,0.340,0.150,0.210,0.090,-0.640,-0.110,0.020,0.460,0.540,0.200,-0.290,-0.080,0.150,,-0.090,0.540,-0.640,0.296,,-0.205,0.221,,0.049,0.324
30-60oN (over land),0.312,-0.440,-0.080,0.150,-0.420,0.100,-0.280,-0.020,-0.470,-0.350,-0.540,-0.340,-0.040,-0.440,-0.510,-0.090,-0.280,-0.020,-0.400,0.320,0.210,0.190,0.050,-0.650,-0.150,-0.110,0.430,0.570,0.160,-0.360,-0.050,0.120,,-0.121,0.570,-0.650,0.306,,-0.239,0.224,,0.024,0.337
30-60oN (over ocean),0.129,-0.500,-0.100,0.370,-0.330,-0.130,-0.250,0.190,-0.250,-0.260,-0.360,-0.350,0.110,-0.430,-0.350,-0.080,-0.080,0.000,-0.320,0.350,0.080,0.230,0.120,-0.620,-0.060,0.150,0.480,0.510,0.240,-0.220,-0.120,0.180,,-0.058,0.510,-0.620,0.293,,-0.165,0.234,,0.071,0.314
0-30oN,0.250,-0.690,-0.410,-0.340,-0.540,-0.510,-0.590,-0.400,-0.430,-0.530,-0.660,-0.670,-0.490,-0.540,-0.470,-0.320,-0.450,-0.400,-0.450,-0.070,-0.210,-0.240,-0.440,-0.940,-0.430,-0.430,-0.070,0.010,-0.280,-0.590,-0.540,-0.270,,-0.432,0.010,-0.940,0.196,,-0.496,0.111,,-0.354,0.248
