MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,3333333601713389568.00,-999.00,-999.00,7071068129878605824.00,-999.00,-999.00,-999.00,667380.12,980405.50,1067605.88,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,713235.75,805209.62,729500.12,-999.00,734833.25,801296.94,701381.00,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,841565.00,888138.69,726588.75,-999.00,-999.00,913626.12,747779.75,-999.00,862845.25,944328.56,-999.00,-999.00
CESM2,1039360.12,956204.19,-999.00,923262.88,1356278.88,961748.06,-999.00,915247.50,1247640.50,1059144.88,-999.00,-999.00
CNRM-CM5,895783.50,912264.44,702403.75,-999.00,-999.00,910929.56,724701.62,-999.00,934244.50,1074765.50,-999.00,-999.00
CNRM-CM6-1,640511.00,-999.00,-999.00,414549.19,-999.00,-999.00,-999.00,344074.09,645244.00,536679.69,-999.00,-999.00
COSMOS-ASO,919826.12,-999.00,856026.06,-999.00,-999.00,-999.00,900496.06,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,758368.88,831929.88,-999.00,-999.00,-999.00,830035.25,-999.00,-999.00,548508.38,412673.41,-999.00,-999.00
CSIRO-Mk3L-1-2,728132.62,747434.62,-999.00,-999.00,-999.00,730756.81,-999.00,-999.00,679044.12,-999.00,-999.00,-999.00
EC-EARTH-2-2,813356.50,779979.62,-999.00,-999.00,-999.00,792094.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,707442.12,883602.44,-999.00,-999.00,-999.00,826422.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,719110.12,666651.94,-999.00,562286.56,-999.00,656435.81,-999.00,505133.88,766444.31,798751.25,-999.00,-999.00
FGOALS-g2,723725.62,614388.62,582987.44,-999.00,-999.00,625133.12,531076.69,-999.00,675151.94,677777.25,-999.00,-999.00
FGOALS-g3,954877.00,811055.75,-999.00,706879.94,-999.00,798775.88,-999.00,664405.75,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,906510.19,977477.06,-999.00,-999.00,-999.00,1007991.00,-999.00,-999.00,987500.62,1178343.38,-999.00,-999.00
GISS-E2-1-G,706675.25,663807.69,-999.00,775398.62,673543.25,649486.06,-999.00,707271.25,686126.38,756890.50,-999.00,-999.00
GISS-E2-R,542641.88,433488.84,538072.50,-999.00,-999.00,439996.84,548225.94,-999.00,609366.81,621633.19,-999.00,-999.00
HadCM3,968655.88,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,598203.44,770261.75,-999.00,-999.00,-999.00,706417.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,755375.69,683646.19,-999.00,-999.00,-999.00,634427.88,-999.00,-999.00,671139.31,615585.38,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,789783.75,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,612314.75,598036.12,528448.56,651979.94,-999.00,594715.12,535167.69,620355.00,767793.62,537691.25,-999.00,-999.00
IPSL-CM5A-LR,491127.19,389444.88,400148.94,-999.00,-999.00,385332.62,394802.16,-999.00,504857.06,562547.81,-999.00,-999.00
IPSL-CM6A-LR,560144.56,572162.38,-999.00,583610.88,521728.41,573290.38,-999.00,556043.81,838887.56,736974.06,-999.00,-999.00
KCM1-2-2,393304.53,301945.91,-999.00,-999.00,-999.00,337661.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,526548.88,538802.88,437099.34,558365.88,-999.00,528028.62,457023.41,509791.19,533614.00,616757.94,-999.00,-999.00
MIROC-ESM,681680.19,661306.94,621918.69,-999.00,-999.00,669696.31,611648.75,-999.00,721698.38,1091703.75,-999.00,-999.00
MPI-ESM1-2-LR,754631.94,761669.12,752413.06,242902.08,-999.00,687696.75,-999.00,263176.41,-999.00,857417.62,-999.00,-999.00
MPI-ESM-P,749432.19,779667.38,782873.81,-999.00,-999.00,729468.19,775537.19,-999.00,741380.38,730982.50,-999.00,-999.00
MRI-CGCM3,809655.25,838397.69,676805.62,-999.00,-999.00,823148.44,694670.69,-999.00,1095596.25,737821.38,-999.00,-999.00
MRI-ESM2-0,777453.00,789555.44,-999.00,-999.00,-999.00,740849.00,-999.00,-999.00,830286.69,766733.56,-999.00,-999.00
NESM3,763522.06,758296.44,-999.00,856464.00,-999.00,815311.81,-999.00,847867.44,692345.19,858761.75,-999.00,-999.00
NorESM1-F,909846.12,813887.00,-999.00,739353.31,731387.19,812813.25,-999.00,768970.06,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,813931.50,824903.69,-999.00,724883.00,-999.00,858495.94,-999.00,779803.81,1017527.75,960872.06,-999.00,-999.00
UofT-CCSM-4,725847.12,746827.19,704589.38,-999.00,-999.00,755704.00,703766.94,-999.00,-999.00,-999.00,-999.00,-999.00
