MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,111111113185165312.00,-999.00,-999.00,500000026513113088.00,-999.00,-999.00,-999.00,4034446.00,3569141.50,3320673.25,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,4170309.25,3777692.25,4429948.00,-999.00,4075554.25,3642373.25,4535469.50,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,3390187.25,3579878.00,3369487.00,-999.00,-999.00,3546811.00,3352253.75,-999.00,2903538.00,2890084.00,-999.00,-999.00
CESM2,3658145.50,3458536.50,-999.00,3343044.00,2947554.75,3403477.50,-999.00,3239087.25,3127846.50,2617198.00,-999.00,-999.00
CNRM-CM5,3829768.00,3803509.25,3351679.00,-999.00,-999.00,3717445.00,3291558.25,-999.00,3810544.25,3835642.25,-999.00,-999.00
CNRM-CM6-1,3487767.50,-999.00,-999.00,3806543.75,-999.00,-999.00,-999.00,3967771.50,3379892.25,3330013.00,-999.00,-999.00
COSMOS-ASO,4141734.75,-999.00,3791448.25,-999.00,-999.00,-999.00,3759607.75,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,3220121.50,3352861.00,-999.00,-999.00,-999.00,3303901.25,-999.00,-999.00,3073407.50,2840302.75,-999.00,-999.00
CSIRO-Mk3L-1-2,3308749.50,3769536.25,-999.00,-999.00,-999.00,3685410.75,-999.00,-999.00,3140470.25,-999.00,-999.00,-999.00
EC-EARTH-2-2,2220856.00,2685252.00,-999.00,-999.00,-999.00,2637098.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,3521070.25,3519282.25,-999.00,-999.00,-999.00,3472344.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,1586952.62,1407516.38,-999.00,1492725.25,-999.00,1327253.12,-999.00,1501241.38,1570739.00,1668574.12,-999.00,-999.00
FGOALS-g2,1562141.62,2059526.50,3256305.50,-999.00,-999.00,1922154.75,3223175.50,-999.00,1629343.88,1030380.06,-999.00,-999.00
FGOALS-g3,2936633.25,2817949.25,-999.00,2517765.75,-999.00,2785237.75,-999.00,2530806.25,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,1296492.25,1590856.12,-999.00,-999.00,-999.00,1562617.88,-999.00,-999.00,853932.50,858723.06,-999.00,-999.00
GISS-E2-1-G,1467632.25,1458845.12,-999.00,1501017.62,1437999.88,1410240.50,-999.00,1400337.75,1404015.25,1095148.62,-999.00,-999.00
GISS-E2-R,2893127.75,2844685.25,3671013.25,-999.00,-999.00,2852417.50,3670465.75,-999.00,2177848.00,1707810.00,-999.00,-999.00
HadCM3,3947788.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,3976862.00,3812315.75,-999.00,-999.00,-999.00,3806764.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,4006104.25,4008901.75,-999.00,-999.00,-999.00,3988182.25,-999.00,-999.00,3641724.25,3464795.25,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,4443560.00,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,2225408.00,2430868.50,1742377.12,2364354.75,-999.00,2360690.75,1730173.75,2365542.75,2013546.50,2057973.25,-999.00,-999.00
IPSL-CM5A-LR,3050792.75,3527326.50,1650079.62,-999.00,-999.00,3538543.50,1552055.50,-999.00,2932218.25,2859268.00,-999.00,-999.00
IPSL-CM6A-LR,5274706.50,5902551.00,-999.00,6118396.00,4616850.50,5914289.00,-999.00,6362177.50,4722601.00,4315443.00,-999.00,-999.00
KCM1-2-2,73196.02,118399.31,-999.00,-999.00,-999.00,128808.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,3993357.50,4486011.50,3785231.50,4762343.50,-999.00,4467412.00,3780214.25,4771542.50,3179359.25,3144041.50,-999.00,-999.00
MIROC-ESM,3308408.50,3809027.50,3451758.75,-999.00,-999.00,3638922.50,3386631.00,-999.00,2819937.50,2545945.25,-999.00,-999.00
MPI-ESM1-2-LR,3362615.50,4020172.75,3113057.50,698555.94,-999.00,3974322.50,-999.00,915488.50,-999.00,3038006.50,-999.00,-999.00
MPI-ESM-P,3830667.50,4409113.50,3840651.75,-999.00,-999.00,4331190.00,3766458.75,-999.00,3341582.50,3066401.00,-999.00,-999.00
MRI-CGCM3,4136971.50,4369802.00,3809963.00,-999.00,-999.00,4351193.00,3764384.25,-999.00,4090134.00,4280908.50,-999.00,-999.00
MRI-ESM2-0,4476886.50,4620923.00,-999.00,-999.00,-999.00,4633315.50,-999.00,-999.00,4432443.50,4304203.00,-999.00,-999.00
NESM3,5047428.50,5718497.00,-999.00,5595772.00,-999.00,5701615.00,-999.00,5771390.00,4902901.00,4868570.50,-999.00,-999.00
NorESM1-F,3742823.75,3595179.75,-999.00,3453156.00,3349960.25,3551548.00,-999.00,3466473.00,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,4014259.50,4001511.50,-999.00,3858217.75,-999.00,3967550.75,-999.00,3805148.50,3527901.50,3409142.25,-999.00,-999.00
UofT-CCSM-4,3736157.75,3902179.25,4360417.00,-999.00,-999.00,3900720.25,4326968.50,-999.00,-999.00,-999.00,-999.00,-999.00
