MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,3333333601713389568.00,-999.00,-999.00,7071068129878605824.00,-999.00,-999.00,-999.00,318505.12,382517.16,380006.38,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,524032.72,637307.19,383043.34,-999.00,545517.88,639073.44,378302.41,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,475304.88,492369.72,386831.00,-999.00,-999.00,484954.12,385477.53,-999.00,365482.88,415148.31,-999.00,-999.00
CESM2,285264.81,286645.69,-999.00,277570.78,452033.38,303514.25,-999.00,283293.44,464268.91,315812.66,-999.00,-999.00
CNRM-CM5,452642.75,405364.19,267330.03,-999.00,-999.00,407734.69,279145.22,-999.00,442560.91,426206.88,-999.00,-999.00
CNRM-CM6-1,411021.44,-999.00,-999.00,431094.72,-999.00,-999.00,-999.00,436912.97,449641.78,381326.62,-999.00,-999.00
COSMOS-ASO,651759.88,-999.00,678141.06,-999.00,-999.00,-999.00,667075.38,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,491348.75,579328.31,-999.00,-999.00,-999.00,597675.38,-999.00,-999.00,555840.06,446038.75,-999.00,-999.00
CSIRO-Mk3L-1-2,504102.22,543796.81,-999.00,-999.00,-999.00,565822.25,-999.00,-999.00,648272.38,-999.00,-999.00,-999.00
EC-EARTH-2-2,261966.52,308383.19,-999.00,-999.00,-999.00,302962.22,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,263599.53,285326.38,-999.00,-999.00,-999.00,298702.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,403552.53,384719.53,-999.00,387152.22,-999.00,384668.38,-999.00,405736.00,416121.97,463414.12,-999.00,-999.00
FGOALS-g2,378633.78,410281.19,372731.44,-999.00,-999.00,403515.16,377892.16,-999.00,344711.97,256689.12,-999.00,-999.00
FGOALS-g3,407228.72,316854.38,-999.00,287104.50,-999.00,304067.84,-999.00,299468.00,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,380437.22,429537.62,-999.00,-999.00,-999.00,436696.25,-999.00,-999.00,317084.50,421320.50,-999.00,-999.00
GISS-E2-1-G,342129.34,360610.41,-999.00,444614.62,428518.78,345486.59,-999.00,435398.16,303299.09,383761.28,-999.00,-999.00
GISS-E2-R,484213.16,444008.41,427799.75,-999.00,-999.00,472923.84,429483.66,-999.00,320480.91,251189.11,-999.00,-999.00
HadCM3,549213.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,295246.28,276156.38,-999.00,-999.00,-999.00,288128.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,302302.88,328194.06,-999.00,-999.00,-999.00,333633.59,-999.00,-999.00,331095.62,296937.78,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,376630.59,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,396851.19,402438.78,263692.16,292684.81,-999.00,402622.62,262608.50,321687.88,406644.69,413751.72,-999.00,-999.00
IPSL-CM5A-LR,436115.44,478539.22,285464.62,-999.00,-999.00,488665.03,285373.12,-999.00,360152.91,365926.88,-999.00,-999.00
IPSL-CM6A-LR,559027.69,558122.38,-999.00,618796.25,480996.62,545107.12,-999.00,593761.75,429571.00,488185.84,-999.00,-999.00
KCM1-2-2,127755.23,194372.02,-999.00,-999.00,-999.00,210362.98,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,441505.78,509689.38,266970.50,392210.81,-999.00,505525.09,269051.28,403119.72,631943.50,592469.94,-999.00,-999.00
MIROC-ESM,588961.81,567269.81,485998.03,-999.00,-999.00,564521.44,503715.59,-999.00,560196.19,562325.00,-999.00,-999.00
MPI-ESM1-2-LR,486260.94,526662.50,476190.16,497977.00,-999.00,541619.75,-999.00,641928.88,-999.00,493070.03,-999.00,-999.00
MPI-ESM-P,552047.75,594099.38,438633.50,-999.00,-999.00,594392.00,449122.41,-999.00,372516.19,541656.44,-999.00,-999.00
MRI-CGCM3,327305.28,375514.81,296707.34,-999.00,-999.00,371494.03,301321.28,-999.00,305917.28,291444.38,-999.00,-999.00
MRI-ESM2-0,411142.56,450528.59,-999.00,-999.00,-999.00,462825.78,-999.00,-999.00,573432.31,618558.44,-999.00,-999.00
NESM3,555637.88,636576.31,-999.00,501459.62,-999.00,628775.12,-999.00,485298.53,465725.97,544143.25,-999.00,-999.00
NorESM1-F,466681.19,497713.66,-999.00,450736.84,464495.12,492947.12,-999.00,458143.59,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,336534.56,373942.88,-999.00,334361.75,-999.00,390100.38,-999.00,333471.03,415128.22,378501.88,-999.00,-999.00
UofT-CCSM-4,505347.19,451065.47,338996.34,-999.00,-999.00,437378.59,340669.75,-999.00,-999.00,-999.00,-999.00,-999.00
