MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,111111113185165312.00,-999.00,-999.00,500000026513113088.00,-999.00,-999.00,-999.00,6464787.00,7807556.00,7876114.50,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,7639858.50,7786943.00,6963336.00,-999.00,7536289.50,7688033.50,6786688.00,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,8215568.00,7984149.50,7911050.50,-999.00,-999.00,7975325.00,7844482.50,-999.00,8206633.00,8127695.50,-999.00,-999.00
CESM2,8016900.00,7766887.00,-999.00,6969902.50,7737914.00,7595081.50,-999.00,6619145.50,7614366.00,7553551.50,-999.00,-999.00
CNRM-CM5,7855806.50,7524801.00,7820433.50,-999.00,-999.00,7508196.50,7705051.50,-999.00,8170640.50,8304174.00,-999.00,-999.00
CNRM-CM6-1,6222203.50,-999.00,-999.00,5052509.50,-999.00,-999.00,-999.00,4525927.00,6574593.50,6182897.00,-999.00,-999.00
COSMOS-ASO,7944853.50,-999.00,7840810.00,-999.00,-999.00,-999.00,7755873.50,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,6490910.50,6476805.00,-999.00,-999.00,-999.00,6204041.00,-999.00,-999.00,6497166.00,6640693.00,-999.00,-999.00
CSIRO-Mk3L-1-2,7188015.50,6519527.50,-999.00,-999.00,-999.00,5991460.50,-999.00,-999.00,7146087.50,-999.00,-999.00,-999.00
EC-EARTH-2-2,7909215.50,7553770.50,-999.00,-999.00,-999.00,7513937.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,8190203.00,8045098.50,-999.00,-999.00,-999.00,8047268.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,4798160.00,3742397.25,-999.00,1859209.75,-999.00,3303290.00,-999.00,1660569.75,5307530.00,5210580.50,-999.00,-999.00
FGOALS-g2,7772122.00,7132515.00,7975514.00,-999.00,-999.00,7161805.00,7948871.50,-999.00,7789727.50,7816194.00,-999.00,-999.00
FGOALS-g3,7181087.50,6030495.00,-999.00,4854254.50,-999.00,5930217.00,-999.00,4714425.00,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,7388276.00,7119250.00,-999.00,-999.00,-999.00,6948506.50,-999.00,-999.00,8156996.00,8190202.00,-999.00,-999.00
GISS-E2-1-G,6014147.00,5489913.00,-999.00,4131316.25,5515613.50,5422137.50,-999.00,3991925.25,6142920.50,5995046.00,-999.00,-999.00
GISS-E2-R,5721433.50,4783432.50,6935704.00,-999.00,-999.00,4784650.50,6895780.50,-999.00,5497124.00,5309700.50,-999.00,-999.00
HadCM3,7954946.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,7418198.00,7260007.50,-999.00,-999.00,-999.00,7210444.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,7405469.50,7558479.50,-999.00,-999.00,-999.00,7509838.50,-999.00,-999.00,7903154.00,7853267.00,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,5832966.00,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,7402428.50,6662411.50,6641545.00,5293912.50,-999.00,6604258.00,6600880.00,5205080.00,7453978.50,7563193.50,-999.00,-999.00
IPSL-CM5A-LR,7529446.50,7152634.50,6826325.50,-999.00,-999.00,6919431.00,6744638.50,-999.00,7522512.50,7456689.50,-999.00,-999.00
IPSL-CM6A-LR,8017851.50,7707736.00,-999.00,7002385.00,8499534.00,7692627.00,-999.00,6954352.50,8452187.00,8564239.00,-999.00,-999.00
KCM1-2-2,290504.72,213025.05,-999.00,-999.00,-999.00,267664.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,8124981.00,8116211.50,7917407.00,7991098.50,-999.00,8138050.00,7903092.50,8082999.00,8488187.00,8547573.00,-999.00,-999.00
MIROC-ESM,8182000.00,8309311.00,8098093.00,-999.00,-999.00,8177047.00,8045149.50,-999.00,8426835.00,8037004.50,-999.00,-999.00
MPI-ESM1-2-LR,7680357.50,7511707.00,7507843.00,42364.82,-999.00,7371634.50,-999.00,25829.26,-999.00,7618758.00,-999.00,-999.00
MPI-ESM-P,7608943.00,7248814.50,7544068.50,-999.00,-999.00,7024471.50,7380112.50,-999.00,7514016.50,7424031.50,-999.00,-999.00
MRI-CGCM3,7138062.50,7008726.00,7094094.50,-999.00,-999.00,6875281.00,6865171.50,-999.00,7574818.00,7620481.00,-999.00,-999.00
MRI-ESM2-0,8383704.00,8229962.00,-999.00,-999.00,-999.00,8042152.00,-999.00,-999.00,8632072.00,8557982.00,-999.00,-999.00
NESM3,8040017.00,7951962.00,-999.00,7575371.00,-999.00,7932727.00,-999.00,7499475.50,8335637.00,8304233.50,-999.00,-999.00
NorESM1-F,7796112.50,8067617.00,-999.00,7649065.00,7974252.00,7976859.50,-999.00,7436072.50,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,7455059.00,7222392.00,-999.00,6751435.00,-999.00,6966263.00,-999.00,6344720.00,7324963.00,7182290.50,-999.00,-999.00
UofT-CCSM-4,8000177.50,7751806.00,7603106.00,-999.00,-999.00,7733400.00,7533339.50,-999.00,-999.00,-999.00,-999.00,-999.00
