MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,111111113185165312.00,-999.00,-999.00,500000026513113088.00,-999.00,-999.00,-999.00,9663155.00,9243096.00,9279149.00,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,10121013.00,10167745.00,9537099.00,-999.00,10045865.00,10030811.00,9418963.00,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,11363368.00,11251216.00,11214890.00,-999.00,-999.00,11210294.00,11176972.00,-999.00,11407988.00,11408429.00,-999.00,-999.00
CESM2,10985537.00,10908880.00,-999.00,10534652.00,11707195.00,10680233.00,-999.00,10193296.00,11207550.00,10668566.00,-999.00,-999.00
CNRM-CM5,9524665.00,9572947.00,9136623.00,-999.00,-999.00,9516939.00,9067899.00,-999.00,9818462.00,9799873.00,-999.00,-999.00
CNRM-CM6-1,9864826.00,-999.00,-999.00,9291945.00,-999.00,-999.00,-999.00,8692529.00,9936254.00,9875567.00,-999.00,-999.00
COSMOS-ASO,9445819.00,-999.00,8281556.50,-999.00,-999.00,-999.00,8205674.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,9117230.00,8904620.00,-999.00,-999.00,-999.00,8322286.00,-999.00,-999.00,9137625.00,9194944.00,-999.00,-999.00
CSIRO-Mk3L-1-2,9424210.00,9264622.00,-999.00,-999.00,-999.00,9061167.00,-999.00,-999.00,9728476.00,-999.00,-999.00,-999.00
EC-EARTH-2-2,10761933.00,10645303.00,-999.00,-999.00,-999.00,10675069.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,9504986.00,9470574.00,-999.00,-999.00,-999.00,9369994.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,8414949.00,7264465.00,-999.00,5472715.00,-999.00,5846871.50,-999.00,4086984.50,7532433.00,7606799.50,-999.00,-999.00
FGOALS-g2,10853004.00,10822541.00,9206674.00,-999.00,-999.00,10758210.00,9169578.00,-999.00,11283490.00,10489809.00,-999.00,-999.00
FGOALS-g3,10460302.00,8567528.00,-999.00,8211846.00,-999.00,8367645.50,-999.00,7830452.50,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,9199254.00,8874181.00,-999.00,-999.00,-999.00,8437271.00,-999.00,-999.00,9675665.00,9311700.00,-999.00,-999.00
