MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,3333333601713389568.00,-999.00,-999.00,7071068129878605824.00,-999.00,-999.00,-999.00,484579.75,702170.12,662658.94,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,410003.03,388564.38,367338.09,-999.00,416068.81,413292.19,351810.94,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,343837.62,426635.88,375813.59,-999.00,-999.00,428993.78,378964.06,-999.00,248853.61,231319.88,-999.00,-999.00
CESM2,489628.44,467234.44,-999.00,480072.47,444027.47,467064.91,-999.00,485391.03,622548.56,562464.94,-999.00,-999.00
CNRM-CM5,445243.19,453594.28,443743.19,-999.00,-999.00,455005.97,439576.94,-999.00,495790.91,486442.91,-999.00,-999.00
CNRM-CM6-1,474803.88,-999.00,-999.00,529612.25,-999.00,-999.00,-999.00,575949.88,573687.94,503766.12,-999.00,-999.00
COSMOS-ASO,588349.75,-999.00,610508.19,-999.00,-999.00,-999.00,611497.31,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,620423.25,731078.00,-999.00,-999.00,-999.00,776286.62,-999.00,-999.00,789443.31,661339.50,-999.00,-999.00
CSIRO-Mk3L-1-2,553320.69,605626.00,-999.00,-999.00,-999.00,572621.81,-999.00,-999.00,683098.88,-999.00,-999.00,-999.00
EC-EARTH-2-2,370283.12,432552.78,-999.00,-999.00,-999.00,431059.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,506133.88,499797.16,-999.00,-999.00,-999.00,509305.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,1046454.00,1219891.62,-999.00,1117768.00,-999.00,1204846.50,-999.00,926358.38,1284779.75,1550541.62,-999.00,-999.00
FGOALS-g2,346880.62,348527.56,532023.94,-999.00,-999.00,354849.69,534872.50,-999.00,292968.84,375805.09,-999.00,-999.00
FGOALS-g3,492597.53,543413.88,-999.00,541642.44,-999.00,560553.38,-999.00,571709.00,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,552009.00,616723.75,-999.00,-999.00,-999.00,683186.38,-999.00,-999.00,593221.69,667927.25,-999.00,-999.00
GISS-E2-1-G,570989.62,733416.81,-999.00,719176.56,636834.50,738307.00,-999.00,748481.19,444269.69,472006.12,-999.00,-999.00
GISS-E2-R,500806.62,551896.69,403601.97,-999.00,-999.00,545812.25,404988.88,-999.00,647453.44,723185.81,-999.00,-999.00
HadCM3,467822.28,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,504624.41,440981.00,-999.00,-999.00,-999.00,484053.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,486839.38,449824.09,-999.00,-999.00,-999.00,453652.50,-999.00,-999.00,465348.00,375426.41,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,553146.19,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,435865.47,462914.47,675337.56,541585.00,-999.00,444726.25,656663.19,519580.28,383607.34,416679.47,-999.00,-999.00
IPSL-CM5A-LR,338785.31,339181.78,551650.69,-999.00,-999.00,351834.19,558766.25,-999.00,385621.81,308916.38,-999.00,-999.00
IPSL-CM6A-LR,415797.47,452071.03,-999.00,442175.19,388344.06,438074.62,-999.00,428683.50,517181.00,550715.50,-999.00,-999.00
KCM1-2-2,428464.47,265285.25,-999.00,-999.00,-999.00,298515.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,416920.44,433666.25,387576.72,368078.69,-999.00,441394.84,380790.28,356909.03,662313.06,641382.12,-999.00,-999.00
MIROC-ESM,336813.38,399266.06,383616.88,-999.00,-999.00,384754.12,394433.12,-999.00,332498.69,460194.81,-999.00,-999.00
MPI-ESM1-2-LR,432272.78,421471.16,538971.31,387933.91,-999.00,424092.31,-999.00,454060.50,-999.00,385275.66,-999.00,-999.00
MPI-ESM-P,418195.41,465088.28,473937.66,-999.00,-999.00,447630.34,488049.31,-999.00,453420.44,464595.97,-999.00,-999.00
MRI-CGCM3,437648.12,379398.97,453593.88,-999.00,-999.00,377932.44,444447.41,-999.00,414979.53,489760.44,-999.00,-999.00
MRI-ESM2-0,385965.38,365869.44,-999.00,-999.00,-999.00,348703.09,-999.00,-999.00,355179.53,352902.59,-999.00,-999.00
NESM3,384760.69,399102.25,-999.00,410126.50,-999.00,397642.41,-999.00,435575.47,399448.59,438499.22,-999.00,-999.00
NorESM1-F,402577.19,435120.59,-999.00,471337.00,403378.59,463010.28,-999.00,487346.53,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,550013.94,569428.06,-999.00,458408.88,-999.00,595242.75,-999.00,518825.19,509481.19,657906.81,-999.00,-999.00
UofT-CCSM-4,363886.09,372536.91,308175.88,-999.00,-999.00,371088.47,308360.78,-999.00,-999.00,-999.00,-999.00,-999.00
