MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,111111113185165312.00,-999.00,-999.00,500000026513113088.00,-999.00,-999.00,-999.00,2934461.25,2275570.00,2230489.25,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,3029368.50,3340400.25,3298328.50,-999.00,2915827.75,3257129.25,3188904.25,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,2408250.50,2588708.25,2580344.00,-999.00,-999.00,2530971.50,2580539.50,-999.00,2497959.25,2642278.75,-999.00,-999.00
CESM2,2687162.00,2754980.00,-999.00,3113494.00,2481111.75,2660647.75,-999.00,2997415.50,2763182.50,2733263.75,-999.00,-999.00
CNRM-CM5,2416735.00,2394635.00,2595235.25,-999.00,-999.00,2285411.50,2551886.00,-999.00,2485202.75,2452751.50,-999.00,-999.00
CNRM-CM6-1,2307464.50,-999.00,-999.00,2756506.00,-999.00,-999.00,-999.00,2523999.00,2417625.25,2328724.75,-999.00,-999.00
COSMOS-ASO,2195745.75,-999.00,1967951.75,-999.00,-999.00,-999.00,1948623.62,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,2555614.00,2559963.50,-999.00,-999.00,-999.00,2425700.25,-999.00,-999.00,2875524.50,2751419.25,-999.00,-999.00
CSIRO-Mk3L-1-2,1765909.62,1910461.75,-999.00,-999.00,-999.00,1818238.50,-999.00,-999.00,1702257.62,-999.00,-999.00,-999.00
EC-EARTH-2-2,2439659.75,2521043.00,-999.00,-999.00,-999.00,2467284.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,2435598.25,2655720.00,-999.00,-999.00,-999.00,2575225.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,2415280.25,2502568.75,-999.00,3006677.00,-999.00,2401614.50,-999.00,2859597.75,2568716.00,2583760.00,-999.00,-999.00
FGOALS-g2,2529013.25,2794160.75,2662822.50,-999.00,-999.00,2741633.75,2658029.50,-999.00,2186536.75,2326070.00,-999.00,-999.00
FGOALS-g3,2715032.25,3172975.00,-999.00,3378570.50,-999.00,3122957.75,-999.00,3287425.50,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,2821395.75,2945243.00,-999.00,-999.00,-999.00,2857376.50,-999.00,-999.00,2762906.75,2718539.50,-999.00,-999.00
GISS-E2-1-G,2394312.00,2444901.25,-999.00,2547035.25,2521759.75,2372197.00,-999.00,2387932.25,2367047.00,2420948.25,-999.00,-999.00
GISS-E2-R,2024383.88,1947087.38,2107398.75,-999.00,-999.00,1885344.38,2100148.00,-999.00,2154796.25,2176257.25,-999.00,-999.00
HadCM3,2535373.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,2082704.75,2168067.25,-999.00,-999.00,-999.00,2080819.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,2109199.75,2267827.50,-999.00,-999.00,-999.00,2172591.25,-999.00,-999.00,2121958.75,2180108.50,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,3031794.75,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,1888287.38,1996102.38,2156363.00,2310705.75,-999.00,1921419.25,2143390.75,2206600.50,1997150.12,2046188.38,-999.00,-999.00
IPSL-CM5A-LR,2738412.00,2918553.25,2324284.50,-999.00,-999.00,2828721.75,2308501.50,-999.00,2960175.75,3064866.50,-999.00,-999.00
IPSL-CM6A-LR,2653634.00,2670317.00,-999.00,2775156.00,2787628.25,2614237.00,-999.00,2687480.75,2779470.75,2742943.00,-999.00,-999.00
KCM1-2-2,108544.88,71028.07,-999.00,-999.00,-999.00,83150.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,2474973.25,2628971.25,2455674.50,3056717.50,-999.00,2529101.00,2448142.75,2952836.25,2528161.75,2546937.25,-999.00,-999.00
MIROC-ESM,2291345.50,2381241.00,2613174.50,-999.00,-999.00,2342270.75,2612323.75,-999.00,2306744.25,2405280.75,-999.00,-999.00
MPI-ESM1-2-LR,3358932.25,3723037.00,3158798.75,449387.28,-999.00,3609401.75,-999.00,426714.88,-999.00,3574683.50,-999.00,-999.00
MPI-ESM-P,3364877.50,3378444.25,3410639.75,-999.00,-999.00,3229423.00,3325051.00,-999.00,3576977.50,3556442.50,-999.00,-999.00
MRI-CGCM3,2075364.38,2580686.00,2132608.00,-999.00,-999.00,2423215.75,2091958.62,-999.00,2519366.50,2505764.75,-999.00,-999.00
MRI-ESM2-0,2766015.50,3092799.00,-999.00,-999.00,-999.00,2997161.25,-999.00,-999.00,2601306.25,2575339.25,-999.00,-999.00
NESM3,3397170.50,3469996.00,-999.00,4004208.25,-999.00,3395848.25,-999.00,3956762.75,3585737.00,3540827.50,-999.00,-999.00
NorESM1-F,3045316.50,3206436.75,-999.00,3673119.75,2989700.50,3073287.50,-999.00,3562266.00,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,3109666.75,3383848.25,-999.00,3723037.25,-999.00,3266568.50,-999.00,3642676.25,3147712.25,2942336.50,-999.00,-999.00
UofT-CCSM-4,2295804.00,2523200.75,2320436.75,-999.00,-999.00,2465845.50,2312527.00,-999.00,-999.00,-999.00,-999.00,-999.00
