MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,3333333601713389568.00,-999.00,-999.00,7071068129878605824.00,-999.00,-999.00,-999.00,181076.22,177129.70,202437.19,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,232203.69,270412.62,245112.84,-999.00,230113.19,272195.00,252040.16,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,245498.80,277529.59,243398.52,-999.00,-999.00,264294.44,243113.00,-999.00,233144.06,309014.06,-999.00,-999.00
CESM2,321207.06,317986.41,-999.00,246173.44,375537.69,331909.97,-999.00,265665.62,358369.16,316518.09,-999.00,-999.00
CNRM-CM5,256248.28,248575.14,197035.19,-999.00,-999.00,257486.94,203735.23,-999.00,293912.38,253756.56,-999.00,-999.00
CNRM-CM6-1,222012.19,-999.00,-999.00,225908.19,-999.00,-999.00,-999.00,265855.81,266415.47,287810.00,-999.00,-999.00
COSMOS-ASO,228444.70,-999.00,271739.78,-999.00,-999.00,-999.00,275980.56,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,332986.84,368136.94,-999.00,-999.00,-999.00,356259.44,-999.00,-999.00,265285.47,279337.50,-999.00,-999.00
CSIRO-Mk3L-1-2,254903.92,242563.30,-999.00,-999.00,-999.00,268286.75,-999.00,-999.00,201790.86,-999.00,-999.00,-999.00
EC-EARTH-2-2,211829.67,171529.50,-999.00,-999.00,-999.00,178725.45,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,225985.78,250069.05,-999.00,-999.00,-999.00,247510.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,190748.09,237296.66,-999.00,191921.83,-999.00,252408.33,-999.00,209107.48,202551.05,185857.94,-999.00,-999.00
FGOALS-g2,219613.77,218658.17,153108.73,-999.00,-999.00,223366.56,149264.91,-999.00,183492.64,138255.97,-999.00,-999.00
FGOALS-g3,204344.72,188519.81,-999.00,150798.45,-999.00,194790.20,-999.00,188066.12,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,235362.48,320730.38,-999.00,-999.00,-999.00,316920.41,-999.00,-999.00,239397.80,231402.78,-999.00,-999.00
GISS-E2-1-G,235274.58,236008.11,-999.00,284338.78,263975.75,229238.42,-999.00,312578.84,248406.09,322035.97,-999.00,-999.00
GISS-E2-R,158013.08,196760.47,125296.51,-999.00,-999.00,222871.94,130133.26,-999.00,188646.42,208837.80,-999.00,-999.00
HadCM3,188159.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,158183.48,160656.86,-999.00,-999.00,-999.00,156796.09,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,152856.58,195622.36,-999.00,-999.00,-999.00,202451.91,-999.00,-999.00,189792.61,229457.66,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,233389.44,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,124178.46,183697.84,128214.19,157726.62,-999.00,184545.94,132745.09,172613.45,108994.48,110782.33,-999.00,-999.00
IPSL-CM5A-LR,215668.03,188459.19,258114.75,-999.00,-999.00,200844.05,250677.52,-999.00,225068.12,216655.91,-999.00,-999.00
IPSL-CM6A-LR,163774.89,177807.84,-999.00,138559.70,194641.27,176688.59,-999.00,147292.50,185960.95,162778.58,-999.00,-999.00
KCM1-2-2,193551.53,162591.11,-999.00,-999.00,-999.00,172191.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,211047.28,258445.61,229559.09,128094.34,-999.00,251748.55,233537.59,154231.77,224877.52,218261.19,-999.00,-999.00
MIROC-ESM,141812.31,171362.44,168017.44,-999.00,-999.00,175984.73,165954.17,-999.00,156758.38,135174.20,-999.00,-999.00
MPI-ESM1-2-LR,270026.28,226250.14,272494.22,141780.58,-999.00,251216.83,-999.00,129379.65,-999.00,304833.06,-999.00,-999.00
MPI-ESM-P,295437.22,230666.84,214384.20,-999.00,-999.00,255127.38,231916.80,-999.00,281865.53,345725.53,-999.00,-999.00
MRI-CGCM3,226924.16,294826.38,160152.70,-999.00,-999.00,299321.88,158820.86,-999.00,339072.06,287926.34,-999.00,-999.00
MRI-ESM2-0,300181.84,224859.58,-999.00,-999.00,-999.00,252357.52,-999.00,-999.00,282808.22,292904.62,-999.00,-999.00
NESM3,169753.50,181743.45,-999.00,122824.73,-999.00,186549.88,-999.00,142712.34,181523.00,160195.38,-999.00,-999.00
NorESM1-F,305247.81,287303.75,-999.00,174382.34,278495.50,284589.12,-999.00,218596.45,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,387282.78,356273.19,-999.00,231118.08,-999.00,385558.53,-999.00,286038.59,385530.34,360276.56,-999.00,-999.00
UofT-CCSM-4,167570.77,185524.59,191100.19,-999.00,-999.00,181719.34,193662.75,-999.00,-999.00,-999.00,-999.00,-999.00
