MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,111111113185165312.00,-999.00,-999.00,500000026513113088.00,-999.00,-999.00,-999.00, 7.52, 8.81, 9.04,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 6.55, 6.37, 6.82,-999.00, 6.44, 6.26, 6.80,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 6.63, 6.35, 6.43,-999.00,-999.00, 6.02, 6.03,-999.00, 7.57, 7.81,-999.00,-999.00
CESM2, 7.39, 7.15,-999.00, 6.92, 7.50, 7.08,-999.00, 6.89, 8.45, 9.02,-999.00,-999.00
CNRM-CM5, 6.11, 6.05, 6.40,-999.00,-999.00, 5.92, 6.34,-999.00, 6.26, 6.09,-999.00,-999.00
CNRM-CM6-1, 7.63,-999.00,-999.00, 7.14,-999.00,-999.00,-999.00, 7.35, 8.46, 9.19,-999.00,-999.00
COSMOS-ASO, 4.83,-999.00, 4.91,-999.00,-999.00,-999.00, 4.70,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 7.91, 7.62,-999.00,-999.00,-999.00, 7.29,-999.00,-999.00, 7.87, 7.74,-999.00,-999.00
CSIRO-Mk3L-1-2, 5.66, 5.68,-999.00,-999.00,-999.00, 5.66,-999.00,-999.00, 6.18,-999.00,-999.00,-999.00
EC-EARTH-2-2, 5.34, 4.96,-999.00,-999.00,-999.00, 4.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 6.73, 6.40,-999.00,-999.00,-999.00, 6.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 7.44, 7.19,-999.00, 6.28,-999.00, 7.16,-999.00, 6.29, 9.14, 9.14,-999.00,-999.00
FGOALS-g2, 6.48, 6.34, 7.23,-999.00,-999.00, 6.04, 7.51,-999.00, 6.20, 6.40,-999.00,-999.00
FGOALS-g3, 9.85,10.14,-999.00,10.05,-999.00,10.13,-999.00,10.01,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 5.20, 4.92,-999.00,-999.00,-999.00, 4.72,-999.00,-999.00, 5.02, 5.09,-999.00,-999.00
GISS-E2-1-G, 7.37, 7.44,-999.00, 6.99, 7.24, 7.45,-999.00, 6.95, 7.52, 7.79,-999.00,-999.00
GISS-E2-R, 9.99, 9.87, 8.30,-999.00,-999.00, 9.93, 8.23,-999.00, 9.30, 9.31,-999.00,-999.00
HadCM3, 6.84,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 6.98, 6.75,-999.00,-999.00,-999.00, 6.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 7.16, 7.07,-999.00,-999.00,-999.00, 7.07,-999.00,-999.00, 7.22, 7.54,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 5.36,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 7.44, 7.53, 7.40, 7.19,-999.00, 7.33, 7.27, 6.96, 7.71, 7.72,-999.00,-999.00
IPSL-CM5A-LR, 7.18, 6.78, 7.49,-999.00,-999.00, 6.97, 7.36,-999.00, 8.82, 9.16,-999.00,-999.00
IPSL-CM6A-LR, 9.32, 8.71,-999.00, 8.82, 9.34, 8.50,-999.00, 8.70,10.61,10.87,-999.00,-999.00
KCM1-2-2, 8.81, 8.50,-999.00,-999.00,-999.00, 8.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 6.31, 5.97, 6.80, 5.78,-999.00, 5.65, 6.63, 5.41, 6.76, 6.65,-999.00,-999.00
MIROC-ESM, 6.54, 6.19, 6.79,-999.00,-999.00, 5.92, 6.58,-999.00, 5.98, 6.14,-999.00,-999.00
MPI-ESM1-2-LR, 6.68, 6.85, 6.82,11.58,-999.00, 6.97,-999.00,10.84,-999.00, 7.27,-999.00,-999.00
MPI-ESM-P, 6.19, 6.18, 5.91,-999.00,-999.00, 6.11, 5.81,-999.00, 7.11, 7.19,-999.00,-999.00
MRI-CGCM3, 8.67, 8.10, 7.16,-999.00,-999.00, 8.03, 6.93,-999.00, 9.57,10.30,-999.00,-999.00
MRI-ESM2-0, 8.94, 8.68,-999.00,-999.00,-999.00, 8.78,-999.00,-999.00, 8.96, 9.07,-999.00,-999.00
NESM3, 7.35, 7.42,-999.00, 6.99,-999.00, 7.10,-999.00, 6.79, 8.85, 9.19,-999.00,-999.00
NorESM1-F, 7.22, 7.02,-999.00, 6.59, 7.53, 6.59,-999.00, 6.24,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 7.36, 7.20,-999.00, 6.67,-999.00, 6.84,-999.00, 6.26, 6.96, 7.44,-999.00,-999.00
UofT-CCSM-4, 6.68, 6.30, 7.25,-999.00,-999.00, 5.91, 6.85,-999.00,-999.00,-999.00,-999.00,-999.00
