MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,3333333601713389568.00,-999.00,-999.00,7071068129878605824.00,-999.00,-999.00,-999.00, 1.48, 1.08, 1.64,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.51, 0.49, 0.62,-999.00, 0.57, 0.56, 0.70,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.44, 0.43, 0.39,-999.00,-999.00, 0.43, 0.36,-999.00, 0.58, 0.60,-999.00,-999.00
CESM2, 0.88, 0.86,-999.00, 0.97, 0.94, 1.01,-999.00, 1.15, 0.82, 1.27,-999.00,-999.00
CNRM-CM5, 0.47, 0.52, 0.48,-999.00,-999.00, 0.54, 0.54,-999.00, 0.43, 0.58,-999.00,-999.00
CNRM-CM6-1, 0.90,-999.00,-999.00, 1.07,-999.00,-999.00,-999.00, 1.13, 1.06, 0.96,-999.00,-999.00
COSMOS-ASO, 0.60,-999.00, 0.42,-999.00,-999.00,-999.00, 0.41,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.66, 0.67,-999.00,-999.00,-999.00, 0.73,-999.00,-999.00, 0.83, 0.61,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.66, 0.73,-999.00,-999.00,-999.00, 0.82,-999.00,-999.00, 0.67,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.33, 0.46,-999.00,-999.00,-999.00, 0.45,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.43, 0.43,-999.00,-999.00,-999.00, 0.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.87, 0.83,-999.00, 0.81,-999.00, 0.85,-999.00, 0.87, 1.19, 1.16,-999.00,-999.00
FGOALS-g2, 0.56, 0.59, 0.60,-999.00,-999.00, 0.57, 0.67,-999.00, 0.57, 0.60,-999.00,-999.00
FGOALS-g3, 1.18, 1.41,-999.00, 1.21,-999.00, 1.56,-999.00, 1.31,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.38, 0.39,-999.00,-999.00,-999.00, 0.45,-999.00,-999.00, 0.56, 0.62,-999.00,-999.00
GISS-E2-1-G, 0.74, 0.77,-999.00, 0.99, 0.72, 0.89,-999.00, 1.11, 0.82, 0.70,-999.00,-999.00
GISS-E2-R, 1.18, 1.05, 0.67,-999.00,-999.00, 1.12, 0.74,-999.00, 0.90, 0.99,-999.00,-999.00
HadCM3, 0.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.62, 0.86,-999.00,-999.00,-999.00, 0.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.71, 0.78,-999.00,-999.00,-999.00, 0.85,-999.00,-999.00, 0.55, 0.59,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.63,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.69, 0.71, 0.42, 0.73,-999.00, 0.71, 0.41, 0.71, 0.70, 0.53,-999.00,-999.00
IPSL-CM5A-LR, 1.00, 1.11, 0.56,-999.00,-999.00, 1.24, 0.59,-999.00, 1.34, 1.59,-999.00,-999.00
IPSL-CM6A-LR, 0.83, 0.88,-999.00, 1.12, 0.79, 0.91,-999.00, 1.16, 1.79, 0.95,-999.00,-999.00
KCM1-2-2, 4.21, 3.29,-999.00,-999.00,-999.00, 3.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.51, 0.47, 0.54, 0.52,-999.00, 0.45, 0.57, 0.49, 0.48, 0.54,-999.00,-999.00
MIROC-ESM, 0.48, 0.47, 0.46,-999.00,-999.00, 0.47, 0.47,-999.00, 0.48, 0.53,-999.00,-999.00
MPI-ESM1-2-LR, 0.71, 0.83, 0.58, 1.40,-999.00, 0.89,-999.00, 1.35,-999.00, 0.69,-999.00,-999.00
MPI-ESM-P, 0.60, 0.60, 0.44,-999.00,-999.00, 0.66, 0.51,-999.00, 0.60, 0.60,-999.00,-999.00
MRI-CGCM3, 1.10, 1.24, 0.66,-999.00,-999.00, 1.35, 0.73,-999.00, 1.37, 1.13,-999.00,-999.00
MRI-ESM2-0, 1.07, 1.19,-999.00,-999.00,-999.00, 1.29,-999.00,-999.00, 0.94, 1.13,-999.00,-999.00
NESM3, 0.44, 0.44,-999.00, 0.57,-999.00, 0.48,-999.00, 0.57, 0.69, 0.71,-999.00,-999.00
NorESM1-F, 0.56, 0.55,-999.00, 0.56, 0.54, 0.52,-999.00, 0.56,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.67, 0.61,-999.00, 0.86,-999.00, 0.60,-999.00, 0.77, 0.50, 0.76,-999.00,-999.00
UofT-CCSM-4, 0.42, 0.45, 0.48,-999.00,-999.00, 0.44, 0.47,-999.00,-999.00,-999.00,-999.00,-999.00
