MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,111111113185165312.00,-999.00,-999.00,500000026513113088.00,-999.00,-999.00,-999.00, 7.80, 7.12, 6.90,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 5.92, 5.16, 6.42,-999.00, 5.35, 4.76, 5.78,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 5.57, 5.88, 5.32,-999.00,-999.00, 5.50, 5.11,-999.00, 6.08, 6.04,-999.00,-999.00
CESM2, 6.63, 7.10,-999.00, 7.95, 7.43, 6.68,-999.00, 7.40, 6.11, 5.62,-999.00,-999.00
CNRM-CM5, 5.84, 6.27, 6.12,-999.00,-999.00, 5.99, 5.85,-999.00, 6.05, 5.93,-999.00,-999.00
CNRM-CM6-1, 6.27,-999.00,-999.00, 7.03,-999.00,-999.00,-999.00, 6.41, 6.26, 6.26,-999.00,-999.00
COSMOS-ASO, 4.40,-999.00, 4.37,-999.00,-999.00,-999.00, 4.13,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 7.33, 7.36,-999.00,-999.00,-999.00, 6.77,-999.00,-999.00, 6.86, 6.60,-999.00,-999.00
CSIRO-Mk3L-1-2, 4.83, 4.82,-999.00,-999.00,-999.00, 4.38,-999.00,-999.00, 4.25,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.97, 5.49,-999.00,-999.00,-999.00, 5.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 6.10, 6.25,-999.00,-999.00,-999.00, 6.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 5.22, 5.45,-999.00, 5.85,-999.00, 5.18,-999.00, 5.54, 5.94, 6.07,-999.00,-999.00
FGOALS-g2, 4.89, 5.27, 5.54,-999.00,-999.00, 5.10, 5.49,-999.00, 5.17, 4.60,-999.00,-999.00
FGOALS-g3, 5.13, 5.67,-999.00, 6.30,-999.00, 5.55,-999.00, 6.07,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 3.88, 3.94,-999.00,-999.00,-999.00, 3.87,-999.00,-999.00, 4.24, 3.96,-999.00,-999.00
GISS-E2-1-G, 4.43, 5.01,-999.00, 5.46, 4.46, 4.90,-999.00, 5.34, 4.33, 4.12,-999.00,-999.00
GISS-E2-R, 5.64, 6.06, 5.31,-999.00,-999.00, 5.82, 5.26,-999.00, 6.05, 6.31,-999.00,-999.00
HadCM3, 5.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 5.05, 5.90,-999.00,-999.00,-999.00, 5.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 5.13, 5.95,-999.00,-999.00,-999.00, 5.61,-999.00,-999.00, 5.53, 5.71,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 6.74,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.65, 5.42, 3.58, 6.19,-999.00, 5.18, 3.53, 5.66, 5.23, 5.37,-999.00,-999.00
IPSL-CM5A-LR, 5.98, 6.38, 5.66,-999.00,-999.00, 5.99, 5.45,-999.00, 6.09, 6.02,-999.00,-999.00
IPSL-CM6A-LR, 6.08, 6.50,-999.00, 6.86, 6.48, 6.40,-999.00, 6.69, 6.51, 6.69,-999.00,-999.00
KCM1-2-2, 6.23, 6.95,-999.00,-999.00,-999.00, 6.95,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 6.44, 7.10, 5.60, 8.04,-999.00, 6.75, 5.47, 7.55, 6.63, 6.51,-999.00,-999.00
MIROC-ESM, 6.47, 6.84, 5.92,-999.00,-999.00, 6.44, 5.74,-999.00, 6.51, 5.98,-999.00,-999.00
MPI-ESM1-2-LR, 5.33, 5.96, 5.42, 5.81,-999.00, 5.47,-999.00, 5.28,-999.00, 5.88,-999.00,-999.00
MPI-ESM-P, 5.40, 5.81, 5.05,-999.00,-999.00, 5.29, 4.73,-999.00, 6.11, 5.94,-999.00,-999.00
MRI-CGCM3, 5.24, 5.59, 4.70,-999.00,-999.00, 5.23, 4.47,-999.00, 5.32, 5.33,-999.00,-999.00
MRI-ESM2-0, 6.10, 6.91,-999.00,-999.00,-999.00, 6.38,-999.00,-999.00, 5.79, 5.57,-999.00,-999.00
NESM3, 6.18, 6.93,-999.00, 7.80,-999.00, 6.29,-999.00, 6.97, 7.08, 7.13,-999.00,-999.00
NorESM1-F, 5.96, 6.32,-999.00, 6.46, 5.71, 5.97,-999.00, 6.01,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 5.63, 5.95,-999.00, 6.88,-999.00, 5.52,-999.00, 6.33, 5.59, 5.33,-999.00,-999.00
UofT-CCSM-4, 5.66, 5.89, 5.81,-999.00,-999.00, 5.50, 5.56,-999.00,-999.00,-999.00,-999.00,-999.00
