MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,111111113185165312.00,-999.00,-999.00,500000026513113088.00,-999.00,-999.00,-999.00, 9.41, 7.46, 7.41,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 6.03, 5.22, 6.81,-999.00, 5.88, 5.01, 6.70,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 7.39, 7.73, 7.28,-999.00,-999.00, 7.60, 7.06,-999.00, 7.68, 7.74,-999.00,-999.00
CESM2, 9.62, 9.56,-999.00, 9.47, 6.88, 9.20,-999.00, 9.27, 8.08, 7.89,-999.00,-999.00
CNRM-CM5, 6.67, 6.69, 6.63,-999.00,-999.00, 6.60, 6.45,-999.00, 6.32, 6.27,-999.00,-999.00
CNRM-CM6-1, 8.35,-999.00,-999.00, 8.67,-999.00,-999.00,-999.00, 8.42, 8.41, 8.49,-999.00,-999.00
COSMOS-ASO, 5.95,-999.00, 5.25,-999.00,-999.00,-999.00, 5.18,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 8.86, 8.99,-999.00,-999.00,-999.00, 8.61,-999.00,-999.00, 8.59, 8.51,-999.00,-999.00
CSIRO-Mk3L-1-2, 7.75, 8.31,-999.00,-999.00,-999.00, 7.72,-999.00,-999.00, 6.65,-999.00,-999.00,-999.00
EC-EARTH-2-2, 5.65, 5.98,-999.00,-999.00,-999.00, 5.92,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 7.47, 7.65,-999.00,-999.00,-999.00, 7.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 6.15, 6.24,-999.00, 6.70,-999.00, 6.14,-999.00, 6.58, 6.79, 6.84,-999.00,-999.00
FGOALS-g2, 5.11, 5.62, 6.98,-999.00,-999.00, 5.60, 6.90,-999.00, 5.52, 5.37,-999.00,-999.00
FGOALS-g3, 9.90,11.04,-999.00,12.12,-999.00,11.03,-999.00,12.16,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 5.75, 5.94,-999.00,-999.00,-999.00, 5.85,-999.00,-999.00, 6.47, 6.39,-999.00,-999.00
GISS-E2-1-G, 8.55, 8.53,-999.00, 8.80, 7.54, 8.46,-999.00, 9.02, 8.57, 9.09,-999.00,-999.00
GISS-E2-R, 8.85, 8.87, 8.37,-999.00,-999.00, 8.86, 8.28,-999.00,10.49,10.54,-999.00,-999.00
HadCM3, 5.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 8.36, 8.36,-999.00,-999.00,-999.00, 8.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 8.49, 8.42,-999.00,-999.00,-999.00, 8.28,-999.00,-999.00, 7.87, 7.57,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 8.67,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 7.44, 7.11, 5.23, 8.21,-999.00, 7.13, 5.11, 8.24, 7.65, 7.52,-999.00,-999.00
IPSL-CM5A-LR, 7.01, 7.03, 5.36,-999.00,-999.00, 6.84, 5.20,-999.00, 7.71, 7.60,-999.00,-999.00
IPSL-CM6A-LR, 8.65, 8.56,-999.00, 8.68, 8.44, 8.46,-999.00, 8.53, 7.52, 7.28,-999.00,-999.00
KCM1-2-2, 8.50, 8.82,-999.00,-999.00,-999.00, 8.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 7.19, 7.03, 7.74, 7.83,-999.00, 6.96, 7.63, 7.87, 7.13, 6.90,-999.00,-999.00
MIROC-ESM, 6.20, 6.25, 5.82,-999.00,-999.00, 6.12, 5.62,-999.00, 5.99, 6.02,-999.00,-999.00
MPI-ESM1-2-LR, 5.85, 6.31, 5.06, 5.39,-999.00, 6.14,-999.00, 4.81,-999.00, 6.06,-999.00,-999.00
MPI-ESM-P, 6.35, 6.52, 6.13,-999.00,-999.00, 6.31, 5.93,-999.00, 6.94, 6.81,-999.00,-999.00
MRI-CGCM3, 8.60, 9.12, 7.00,-999.00,-999.00, 8.80, 6.73,-999.00, 9.13, 9.87,-999.00,-999.00
MRI-ESM2-0, 9.64, 9.92,-999.00,-999.00,-999.00, 9.66,-999.00,-999.00, 9.18, 9.03,-999.00,-999.00
NESM3, 7.17, 7.47,-999.00, 8.90,-999.00, 7.08,-999.00, 8.33, 7.60, 7.69,-999.00,-999.00
NorESM1-F, 6.23, 6.46,-999.00, 7.71, 5.93, 6.21,-999.00, 7.47,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 8.70, 8.70,-999.00, 8.60,-999.00, 8.30,-999.00, 8.35, 7.12, 6.82,-999.00,-999.00
UofT-CCSM-4, 8.02, 8.11, 8.18,-999.00,-999.00, 7.93, 7.90,-999.00,-999.00,-999.00,-999.00,-999.00
