MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,111111113185165312.00,-999.00,-999.00,500000026513113088.00,-999.00,-999.00,-999.00, 5.72, 7.74, 7.60,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 5.83, 6.13, 5.38,-999.00, 5.28, 5.66, 4.84,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 6.89, 6.63, 6.56,-999.00,-999.00, 6.19, 6.15,-999.00, 7.45, 7.43,-999.00,-999.00
CESM2, 6.53, 6.13,-999.00, 5.77, 6.57, 5.56,-999.00, 5.22, 6.62, 6.56,-999.00,-999.00
CNRM-CM5, 5.72, 5.58, 5.75,-999.00,-999.00, 5.15, 5.37,-999.00, 5.90, 5.93,-999.00,-999.00
CNRM-CM6-1, 5.38,-999.00,-999.00, 5.04,-999.00,-999.00,-999.00, 4.81, 5.38, 5.34,-999.00,-999.00
COSMOS-ASO, 5.51,-999.00, 5.56,-999.00,-999.00,-999.00, 5.30,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 7.00, 6.50,-999.00,-999.00,-999.00, 5.72,-999.00,-999.00, 6.54, 6.46,-999.00,-999.00
CSIRO-Mk3L-1-2, 5.85, 5.20,-999.00,-999.00,-999.00, 4.74,-999.00,-999.00, 6.22,-999.00,-999.00,-999.00
EC-EARTH-2-2, 5.26, 5.18,-999.00,-999.00,-999.00, 4.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 6.53, 6.46,-999.00,-999.00,-999.00, 5.99,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.28, 4.20,-999.00, 4.60,-999.00, 4.14,-999.00, 4.49, 5.14, 5.09,-999.00,-999.00
FGOALS-g2, 5.71, 5.36, 6.55,-999.00,-999.00, 5.06, 6.32,-999.00, 5.70, 5.37,-999.00,-999.00
FGOALS-g3, 6.70, 6.39,-999.00, 6.34,-999.00, 6.08,-999.00, 6.04,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 5.25, 5.11,-999.00,-999.00,-999.00, 4.69,-999.00,-999.00, 5.88, 5.83,-999.00,-999.00
GISS-E2-1-G, 4.86, 4.83,-999.00, 4.61, 4.68, 4.65,-999.00, 4.48, 4.83, 4.88,-999.00,-999.00
GISS-E2-R, 6.38, 6.21, 6.47,-999.00,-999.00, 6.01, 6.27,-999.00, 6.31, 6.08,-999.00,-999.00
HadCM3, 5.96,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 6.06, 6.04,-999.00,-999.00,-999.00, 5.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 6.11, 6.16,-999.00,-999.00,-999.00, 5.64,-999.00,-999.00, 6.11, 6.09,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 4.99,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 6.36, 5.98, 6.99, 5.36,-999.00, 5.75, 6.72, 5.17, 7.02, 7.19,-999.00,-999.00
IPSL-CM5A-LR, 6.86, 6.62, 6.11,-999.00,-999.00, 6.17, 5.68,-999.00, 7.76, 7.93,-999.00,-999.00
IPSL-CM6A-LR, 7.10, 6.93,-999.00, 6.47, 7.09, 6.43,-999.00, 6.00, 7.99, 8.44,-999.00,-999.00
KCM1-2-2, 7.57, 8.03,-999.00,-999.00,-999.00, 8.09,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 8.37, 8.00, 8.10, 7.59,-999.00, 7.62, 7.82, 7.24, 8.46, 8.38,-999.00,-999.00
MIROC-ESM, 6.95, 6.30, 6.87,-999.00,-999.00, 5.80, 6.44,-999.00, 6.81, 6.51,-999.00,-999.00
MPI-ESM1-2-LR, 5.91, 5.80, 6.24, 2.46,-999.00, 5.28,-999.00, 2.39,-999.00, 6.68,-999.00,-999.00
MPI-ESM-P, 5.47, 5.33, 5.72,-999.00,-999.00, 4.84, 5.30,-999.00, 5.74, 5.89,-999.00,-999.00
MRI-CGCM3, 6.21, 6.21, 5.38,-999.00,-999.00, 5.63, 4.96,-999.00, 6.74, 6.68,-999.00,-999.00
MRI-ESM2-0, 6.71, 6.43,-999.00,-999.00,-999.00, 5.79,-999.00,-999.00, 6.94, 7.08,-999.00,-999.00
NESM3, 7.42, 7.25,-999.00, 6.63,-999.00, 6.58,-999.00, 5.99, 8.88, 8.99,-999.00,-999.00
NorESM1-F, 7.15, 6.83,-999.00, 6.45, 7.39, 6.25,-999.00, 5.85,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 5.78, 5.43,-999.00, 5.27,-999.00, 4.90,-999.00, 4.67, 5.64, 5.67,-999.00,-999.00
UofT-CCSM-4, 6.84, 6.56, 6.94,-999.00,-999.00, 6.12, 6.52,-999.00,-999.00,-999.00,-999.00,-999.00
