MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,111111113185165312.00,-999.00,-999.00,500000026513113088.00,-999.00,-999.00,-999.00, 7.71, 9.68, 9.47,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 6.96, 6.68, 6.38,-999.00, 6.40, 6.25, 5.78,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 7.61, 7.37, 7.30,-999.00,-999.00, 6.89, 6.95,-999.00, 8.02, 7.89,-999.00,-999.00
CESM2, 8.11, 7.64,-999.00, 7.22, 7.81, 6.92,-999.00, 6.35, 7.77, 7.96,-999.00,-999.00
CNRM-CM5, 7.05, 6.71, 6.76,-999.00,-999.00, 6.33, 6.48,-999.00, 7.39, 7.46,-999.00,-999.00
CNRM-CM6-1, 7.62,-999.00,-999.00, 6.31,-999.00,-999.00,-999.00, 5.59, 7.66, 7.64,-999.00,-999.00
COSMOS-ASO, 6.06,-999.00, 5.89,-999.00,-999.00,-999.00, 5.77,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 6.84, 6.38,-999.00,-999.00,-999.00, 5.96,-999.00,-999.00, 7.33, 7.35,-999.00,-999.00
CSIRO-Mk3L-1-2, 8.56, 8.13,-999.00,-999.00,-999.00, 7.34,-999.00,-999.00, 8.70,-999.00,-999.00,-999.00
EC-EARTH-2-2, 6.15, 5.73,-999.00,-999.00,-999.00, 5.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 7.49, 7.15,-999.00,-999.00,-999.00, 6.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.43, 4.27,-999.00, 4.23,-999.00, 4.30,-999.00, 4.35, 4.78, 4.78,-999.00,-999.00
FGOALS-g2, 5.87, 5.48, 6.49,-999.00,-999.00, 5.18, 6.32,-999.00, 6.59, 6.14,-999.00,-999.00
FGOALS-g3, 6.92, 6.71,-999.00, 6.32,-999.00, 6.52,-999.00, 6.14,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 5.61, 5.17,-999.00,-999.00,-999.00, 4.85,-999.00,-999.00, 6.13, 6.22,-999.00,-999.00
GISS-E2-1-G, 6.97, 6.68,-999.00, 6.04, 7.55, 6.38,-999.00, 5.70, 6.89, 6.98,-999.00,-999.00
GISS-E2-R, 7.32, 7.01, 7.40,-999.00,-999.00, 6.70, 7.16,-999.00, 6.81, 6.23,-999.00,-999.00
HadCM3, 7.71,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 8.59, 7.88,-999.00,-999.00,-999.00, 7.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 8.68, 8.19,-999.00,-999.00,-999.00, 7.82,-999.00,-999.00, 8.96, 9.54,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 7.09,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 7.42, 7.00, 7.26, 6.46,-999.00, 6.80, 7.16, 6.21, 7.71, 7.68,-999.00,-999.00
IPSL-CM5A-LR, 7.35, 7.01, 5.72,-999.00,-999.00, 6.32, 5.40,-999.00, 7.94, 8.27,-999.00,-999.00
IPSL-CM6A-LR, 7.49, 7.12,-999.00, 6.74, 7.44, 6.75,-999.00, 6.26, 8.17, 8.43,-999.00,-999.00
KCM1-2-2, 6.99, 6.32,-999.00,-999.00,-999.00, 6.23,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 9.17, 8.75, 9.06, 7.93,-999.00, 8.29, 8.77, 7.39, 9.09, 9.24,-999.00,-999.00
MIROC-ESM, 7.08, 6.67, 7.11,-999.00,-999.00, 6.16, 6.68,-999.00, 6.80, 6.62,-999.00,-999.00
MPI-ESM1-2-LR, 7.91, 7.35, 6.78, 6.41,-999.00, 6.78,-999.00, 5.48,-999.00, 9.16,-999.00,-999.00
MPI-ESM-P, 7.26, 6.82, 6.63,-999.00,-999.00, 6.22, 6.29,-999.00, 7.64, 7.64,-999.00,-999.00
MRI-CGCM3, 8.54, 7.99, 7.29,-999.00,-999.00, 7.46, 7.01,-999.00, 9.43, 9.78,-999.00,-999.00
MRI-ESM2-0, 9.83, 9.22,-999.00,-999.00,-999.00, 8.48,-999.00,-999.00,10.64,10.84,-999.00,-999.00
NESM3, 9.41, 8.68,-999.00, 7.92,-999.00, 7.96,-999.00, 7.17,10.54,10.78,-999.00,-999.00
NorESM1-F, 7.71, 7.13,-999.00, 6.59, 8.11, 6.55,-999.00, 6.00,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 8.46, 8.04,-999.00, 7.45,-999.00, 7.09,-999.00, 6.39, 7.32, 7.39,-999.00,-999.00
UofT-CCSM-4, 7.97, 7.69, 7.87,-999.00,-999.00, 7.11, 7.44,-999.00,-999.00,-999.00,-999.00,-999.00
