MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,3333333601713389568.00,-999.00,-999.00,7071068129878605824.00,-999.00,-999.00,-999.00, 0.46, 0.71, 0.57,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.23, 0.26, 0.21,-999.00, 0.21, 0.25, 0.20,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.28, 0.27, 0.24,-999.00,-999.00, 0.25, 0.23,-999.00, 0.34, 0.31,-999.00,-999.00
CESM2, 0.51, 0.45,-999.00, 0.42, 0.57, 0.41,-999.00, 0.37, 0.67, 0.72,-999.00,-999.00
CNRM-CM5, 0.32, 0.35, 0.31,-999.00,-999.00, 0.34, 0.30,-999.00, 0.46, 0.47,-999.00,-999.00
CNRM-CM6-1, 0.41,-999.00,-999.00, 0.37,-999.00,-999.00,-999.00, 0.32, 0.54, 0.49,-999.00,-999.00
COSMOS-ASO, 0.20,-999.00, 0.14,-999.00,-999.00,-999.00, 0.14,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.37, 0.40,-999.00,-999.00,-999.00, 0.40,-999.00,-999.00, 0.42, 0.47,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.42, 0.42,-999.00,-999.00,-999.00, 0.39,-999.00,-999.00, 0.53,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.17, 0.15,-999.00,-999.00,-999.00, 0.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.29, 0.28,-999.00,-999.00,-999.00, 0.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.23, 0.21,-999.00, 0.24,-999.00, 0.24,-999.00, 0.30, 0.30, 0.30,-999.00,-999.00
FGOALS-g2, 0.18, 0.17, 0.24,-999.00,-999.00, 0.16, 0.24,-999.00, 0.13, 0.20,-999.00,-999.00
FGOALS-g3, 0.30, 0.28,-999.00, 0.29,-999.00, 0.25,-999.00, 0.25,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.27, 0.23,-999.00,-999.00,-999.00, 0.22,-999.00,-999.00, 0.31, 0.31,-999.00,-999.00
GISS-E2-1-G, 0.51, 0.46,-999.00, 0.50, 0.79, 0.45,-999.00, 0.46, 0.50, 0.43,-999.00,-999.00
GISS-E2-R, 0.31, 0.31, 0.29,-999.00,-999.00, 0.31, 0.28,-999.00, 0.26, 0.31,-999.00,-999.00
HadCM3, 0.37,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.47, 0.45,-999.00,-999.00,-999.00, 0.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.47, 0.47,-999.00,-999.00,-999.00, 0.44,-999.00,-999.00, 0.53, 0.72,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.36,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.32, 0.29, 0.32, 0.32,-999.00, 0.29, 0.31, 0.31, 0.39, 0.25,-999.00,-999.00
IPSL-CM5A-LR, 0.38, 0.37, 0.38,-999.00,-999.00, 0.35, 0.35,-999.00, 0.42, 0.42,-999.00,-999.00
IPSL-CM6A-LR, 0.21, 0.21,-999.00, 0.22, 0.24, 0.20,-999.00, 0.21, 0.26, 0.23,-999.00,-999.00
KCM1-2-2, 2.03, 1.46,-999.00,-999.00,-999.00, 1.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.47, 0.37, 0.35, 0.35,-999.00, 0.35, 0.35, 0.33, 0.67, 0.76,-999.00,-999.00
MIROC-ESM, 0.31, 0.30, 0.39,-999.00,-999.00, 0.28, 0.38,-999.00, 0.27, 0.30,-999.00,-999.00
MPI-ESM1-2-LR, 0.34, 0.31, 0.27, 0.86,-999.00, 0.30,-999.00, 0.86,-999.00, 0.56,-999.00,-999.00
MPI-ESM-P, 0.26, 0.22, 0.19,-999.00,-999.00, 0.22, 0.18,-999.00, 0.38, 0.44,-999.00,-999.00
MRI-CGCM3, 0.35, 0.32, 0.28,-999.00,-999.00, 0.30, 0.27,-999.00, 0.43, 0.52,-999.00,-999.00
MRI-ESM2-0, 0.36, 0.34,-999.00,-999.00,-999.00, 0.30,-999.00,-999.00, 0.43, 0.43,-999.00,-999.00
NESM3, 0.44, 0.42,-999.00, 0.43,-999.00, 0.41,-999.00, 0.42, 0.44, 0.51,-999.00,-999.00
NorESM1-F, 0.31, 0.33,-999.00, 0.30, 0.37, 0.31,-999.00, 0.27,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.42, 0.41,-999.00, 0.35,-999.00, 0.37,-999.00, 0.32, 0.51, 0.64,-999.00,-999.00
UofT-CCSM-4, 0.26, 0.23, 0.20,-999.00,-999.00, 0.22, 0.20,-999.00,-999.00,-999.00,-999.00,-999.00
