MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,111111113185165312.00,-999.00,-999.00,500000026513113088.00,-999.00,-999.00,-999.00, 7.61,10.55,10.04,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 7.90, 7.47, 8.56,-999.00, 7.63, 7.12, 8.09,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 8.76, 8.62, 7.68,-999.00,-999.00, 8.38, 7.33,-999.00, 9.82, 9.75,-999.00,-999.00
CESM2,10.10, 9.96,-999.00,10.57,10.78, 9.41,-999.00, 9.84, 9.91, 9.27,-999.00,-999.00
CNRM-CM5, 7.40, 7.33, 6.83,-999.00,-999.00, 7.13, 6.53,-999.00, 7.60, 7.94,-999.00,-999.00
CNRM-CM6-1, 9.62,-999.00,-999.00, 9.00,-999.00,-999.00,-999.00, 8.59, 9.80, 9.75,-999.00,-999.00
COSMOS-ASO, 6.49,-999.00, 5.44,-999.00,-999.00,-999.00, 5.19,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,10.16, 9.70,-999.00,-999.00,-999.00, 8.88,-999.00,-999.00,11.81,12.26,-999.00,-999.00
CSIRO-Mk3L-1-2, 8.89, 7.72,-999.00,-999.00,-999.00, 7.11,-999.00,-999.00, 9.41,-999.00,-999.00,-999.00
EC-EARTH-2-2, 6.39, 6.35,-999.00,-999.00,-999.00, 6.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 8.59, 8.70,-999.00,-999.00,-999.00, 8.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,10.16, 9.85,-999.00, 9.90,-999.00, 9.08,-999.00, 9.07,11.34,11.59,-999.00,-999.00
FGOALS-g2,12.40,11.67,11.56,-999.00,-999.00,11.04,10.98,-999.00,10.81,13.24,-999.00,-999.00
FGOALS-g3,12.71,11.19,-999.00,11.01,-999.00,10.65,-999.00,10.34,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 6.47, 6.29,-999.00,-999.00,-999.00, 5.89,-999.00,-999.00, 6.68, 6.55,-999.00,-999.00
GISS-E2-1-G, 9.87, 9.31,-999.00, 8.87, 8.63, 9.03,-999.00, 8.50, 9.67, 9.98,-999.00,-999.00
GISS-E2-R,11.19, 9.73, 9.49,-999.00,-999.00, 9.46, 9.14,-999.00,11.25,10.13,-999.00,-999.00
HadCM3, 8.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 7.58, 7.00,-999.00,-999.00,-999.00, 6.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 7.71, 7.06,-999.00,-999.00,-999.00, 6.70,-999.00,-999.00, 7.19, 7.17,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 8.25,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 9.27, 8.17, 8.91, 8.23,-999.00, 8.06, 8.71, 8.12,10.73,10.97,-999.00,-999.00
IPSL-CM5A-LR, 6.32, 6.32, 6.51,-999.00,-999.00, 6.02, 6.20,-999.00, 7.06, 7.51,-999.00,-999.00
IPSL-CM6A-LR, 9.10, 8.88,-999.00, 9.28, 9.96, 8.51,-999.00, 8.72,11.04,11.27,-999.00,-999.00
KCM1-2-2,10.29,10.55,-999.00,-999.00,-999.00,10.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 7.34, 7.27, 6.83, 7.74,-999.00, 7.04, 6.52, 7.45, 7.94, 8.21,-999.00,-999.00
MIROC-ESM, 7.86, 7.73, 7.57,-999.00,-999.00, 7.38, 7.12,-999.00, 7.94, 8.00,-999.00,-999.00
MPI-ESM1-2-LR, 7.51, 7.45, 6.68, 9.67,-999.00, 7.14,-999.00, 9.53,-999.00, 8.49,-999.00,-999.00
MPI-ESM-P, 6.82, 6.73, 6.21,-999.00,-999.00, 6.26, 5.73,-999.00, 8.33, 8.51,-999.00,-999.00
MRI-CGCM3, 9.76, 8.77, 8.26,-999.00,-999.00, 8.44, 7.69,-999.00,10.67,10.36,-999.00,-999.00
MRI-ESM2-0, 9.08, 9.33,-999.00,-999.00,-999.00, 9.03,-999.00,-999.00, 9.14, 9.12,-999.00,-999.00
NESM3,10.25, 9.80,-999.00,11.48,-999.00, 9.40,-999.00,10.75,11.32,11.77,-999.00,-999.00
NorESM1-F, 8.44, 8.31,-999.00, 9.01, 8.84, 7.87,-999.00, 8.42,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 8.54, 8.43,-999.00, 9.31,-999.00, 7.91,-999.00, 8.50, 9.18, 8.26,-999.00,-999.00
UofT-CCSM-4, 8.65, 8.59, 7.99,-999.00,-999.00, 8.36, 7.67,-999.00,-999.00,-999.00,-999.00,-999.00
