MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,3333333601713389568.00,-999.00,-999.00,7071068129878605824.00,-999.00,-999.00,-999.00, 1.04, 0.81, 0.93,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.42, 0.33, 0.43,-999.00, 0.46, 0.33, 0.44,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.54, 0.47, 0.32,-999.00,-999.00, 0.49, 0.32,-999.00, 0.51, 0.73,-999.00,-999.00
CESM2, 0.64, 0.67,-999.00, 0.66, 0.83, 0.70,-999.00, 0.69, 0.95, 0.82,-999.00,-999.00
CNRM-CM5, 0.51, 0.50, 0.45,-999.00,-999.00, 0.53, 0.45,-999.00, 0.47, 0.48,-999.00,-999.00
CNRM-CM6-1, 0.84,-999.00,-999.00, 0.81,-999.00,-999.00,-999.00, 0.84, 0.97, 0.86,-999.00,-999.00
COSMOS-ASO, 0.39,-999.00, 0.35,-999.00,-999.00,-999.00, 0.38,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.69, 0.70,-999.00,-999.00,-999.00, 0.66,-999.00,-999.00, 1.02, 1.16,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.15, 0.98,-999.00,-999.00,-999.00, 0.88,-999.00,-999.00, 0.74,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.34, 0.36,-999.00,-999.00,-999.00, 0.38,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.46, 0.46,-999.00,-999.00,-999.00, 0.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.95, 0.95,-999.00, 0.85,-999.00, 0.98,-999.00, 0.90, 0.99, 0.95,-999.00,-999.00
FGOALS-g2, 1.44, 0.86, 0.80,-999.00,-999.00, 0.90, 0.77,-999.00, 1.38, 1.13,-999.00,-999.00
FGOALS-g3, 0.77, 0.64,-999.00, 0.66,-999.00, 0.65,-999.00, 0.66,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.46, 0.46,-999.00,-999.00,-999.00, 0.47,-999.00,-999.00, 0.53, 0.85,-999.00,-999.00
GISS-E2-1-G, 0.88, 0.80,-999.00, 1.06, 0.75, 0.86,-999.00, 1.13, 0.64, 1.12,-999.00,-999.00
GISS-E2-R, 0.84, 1.03, 0.66,-999.00,-999.00, 1.01, 0.65,-999.00, 0.82, 1.10,-999.00,-999.00
HadCM3, 0.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.50, 0.51,-999.00,-999.00,-999.00, 0.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.55, 0.47,-999.00,-999.00,-999.00, 0.46,-999.00,-999.00, 0.45, 0.53,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.65,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.43, 0.40, 0.43, 0.41,-999.00, 0.41, 0.42, 0.41, 0.36, 0.38,-999.00,-999.00
IPSL-CM5A-LR, 0.40, 0.39, 0.51,-999.00,-999.00, 0.41, 0.50,-999.00, 0.59, 0.64,-999.00,-999.00
IPSL-CM6A-LR, 0.48, 0.50,-999.00, 0.52, 0.68, 0.51,-999.00, 0.55, 0.77, 0.52,-999.00,-999.00
KCM1-2-2, 2.14, 2.07,-999.00,-999.00,-999.00, 2.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.42, 0.35, 0.43, 0.41,-999.00, 0.36, 0.42, 0.44, 0.72, 0.64,-999.00,-999.00
MIROC-ESM, 0.36, 0.37, 0.40,-999.00,-999.00, 0.38, 0.40,-999.00, 0.40, 0.47,-999.00,-999.00
MPI-ESM1-2-LR, 0.42, 0.34, 0.35, 1.11,-999.00, 0.35,-999.00, 1.09,-999.00, 0.44,-999.00,-999.00
MPI-ESM-P, 0.37, 0.36, 0.27,-999.00,-999.00, 0.37, 0.27,-999.00, 0.45, 0.62,-999.00,-999.00
MRI-CGCM3, 0.84, 0.67, 0.55,-999.00,-999.00, 0.70, 0.53,-999.00, 1.14, 0.91,-999.00,-999.00
MRI-ESM2-0, 0.68, 0.49,-999.00,-999.00,-999.00, 0.53,-999.00,-999.00, 0.86, 0.71,-999.00,-999.00
NESM3, 0.46, 0.46,-999.00, 0.47,-999.00, 0.45,-999.00, 0.45, 0.48, 0.55,-999.00,-999.00
NorESM1-F, 0.59, 0.57,-999.00, 0.52, 0.62, 0.60,-999.00, 0.55,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.65, 0.64,-999.00, 0.77,-999.00, 0.69,-999.00, 0.80, 0.68, 0.71,-999.00,-999.00
UofT-CCSM-4, 0.49, 0.48, 0.34,-999.00,-999.00, 0.51, 0.35,-999.00,-999.00,-999.00,-999.00,-999.00
