Simulated Temperature Changes,CESM2,IPSLCM6A,COSMOS,EC-Earth3.3,CESM1.2,IPSLCM5A,MIROC4m,IPSLCM5A2,HadCM3,GISS2.1G,CCSM4,CCSM4-Utr,CCSM4-UoT,NorESM-L,MRI2.3,NorESM1-F
GLOBAL,5.17,3.48,3.33,4.84,4.03,2.29,3.14,2.17,2.89,2.13,2.61,4.74,3.79,2.09,2.45,1.73
GLOBAL (over land),6.58,4.61,4.97,6.64,5.09,3.37,4.63,3.15,4.47,2.57,3.51,5.6,4.77,2.64,3.71,2.52
GLOBAL (over ocean),4.69,3.14,2.74,4.21,3.72,1.96,2.6,1.87,2.34,2.08,2.36,4.5,3.51,2,2.04,1.52
60-90oN,10.52,7.73,7.26,11.36,9.76,5.18,7.07,4.89,5.22,3.93,6.6,10.45,9.96,4.82,7.37,5.02
60-90oN (over land),10.17,7.34,7.32,10.7,8.95,4.97,7.18,4.72,5.22,3.17,6.36,9.61,9.02,4.67,6.63,5.03
60-90oN (over sea),11.17,8.69,7.36,12.45,11.27,5.09,6.97,4.82,5.36,4.98,6.86,11.26,11.16,4.96,7.45,5.19
30-60oN ,5.62,3.79,3.88,6.64,4.19,3.04,3.59,2.59,3.92,1.79,2.85,5.25,4.2,1.66,3.17,1.87
30-60oN  (over land),6.1,4.03,3.92,7.14,4.39,2.97,3.95,2.55,4.4,1.43,2.94,5.3,4.59,1.71,2.82,1.83
30-60oN  (over sea),5.35,3.87,4.04,6.41,4.27,3.37,3.44,2.89,3.63,2.41,3.03,5.44,4.08,1.91,3.73,2.18
0-30oN ,3.8,2.5,2.76,3.67,2.68,2.03,2.48,1.79,2.36,1.2,1.56,2.71,2.31,1.06,1.84,1.1
0-30oN  (over land),4.47,3.01,3.31,4.68,3.16,2.5,3.02,2.2,3.07,1.6,1.96,2.86,2.95,0.94,2.23,1.2
0-30oN  (over sea),3.53,2.33,2.55,3.27,2.51,1.86,2.27,1.64,2.07,1.04,1.43,2.68,2.09,1.15,1.69,1.08
30oS-0 ,3.74,2.14,2.45,3.07,2.58,1.5,2.3,1.49,1.83,1.26,1.46,2.82,2.06,1.11,1.47,1.12
30oS-0  (over land),4.4,2.6,3.9,4.13,3.03,1.98,3.43,1.95,3.25,1.64,1.71,3.2,2.3,1.14,2.21,1.31
30oS-0  (over sea),3.53,2.02,2.01,2.77,2.46,1.36,1.96,1.35,1.4,1.15,1.41,2.72,2.02,1.11,1.26,1.08
60-30oS ,4.57,2.87,2.01,3.37,3.67,1.29,2.05,1.41,1.85,2.38,2.57,4.56,3.6,2.26,1.05,1.58
60-30oS  (over land),4.61,2.61,2.11,3.92,3.24,1.61,2.37,1.74,2.51,2.19,2.04,3.72,2.74,1.71,1.92,1.56
60-30oS  (over sea),4.55,2.87,1.98,3.31,3.69,1.25,2.01,1.36,1.79,2.37,2.59,4.6,3.64,2.28,0.97,1.57
90-60oS ,10.78,8.68,6.87,8.45,9.32,4.11,6.41,4.34,6.55,7.32,6.28,12.89,8.97,7.59,5.39,3.18
90-60oS  (over land),6.7,4.55,5.82,5.24,4.77,1.63,4.1,1.51,3.43,4.19,2.69,7.68,3.48,5.31,2.94,0.36
90-60oS  (over sea),9.23,6.91,3.85,6.53,7.89,1.78,3.92,2.24,4.45,5.1,5.03,12.35,8.51,5.25,2.77,1.31
