number,model,ipcc_r,ipcc_g,ipcc_b
1,BCC-CSM1-1,0,0,0.545098039
2,CCSM4,0.262745098,0.698039216,0.847058824
3,CNRM-CM5,0,0,0.545098039
4,CSIRO-Mk3-6-0,0,0,0.545098039
5,CSIRO-Mk3L-1-2,0,0,0.545098039
6,EC-EARTH-2-2,0,0,0.545098039
7,FGOALS-s2,0.97254902,0.603921569,0.109803922
8,FGOALS-g2,0.97254902,0.603921569,0.109803922
9,GISS-E2-R,0.466666667,0.11372549,0.482352941
10,HadGEM2-CC,0.478431373,0.545098039,0.149019608
11,HadGEM2-ES,0.478431373,0.545098039,0.149019608
12,IPSL-CM5A-LR,0.356862745,0.325490196,0.682352941
13,MIROC-ESM,0.721568627,0.37254902,0.71372549
14,MPI-ESM-P,0.364705882,0.631372549,0.635294118
15,MRI-CGCM3,0.678431373,1,0.184313725
